method,n,delta,seed,epoch,changed_rels,violated_rels,total_ms,verified
incr_repair,600,0.02,43,7,24,2,6.19,True
cpsat_rebuild,600,0.02,43,8,24,-1,19.953,True
cpsat_hint,600,0.02,43,8,24,-1,18.91,True
incr_repair,600,0.02,43,8,24,1,2.435,True
cpsat_rebuild,600,0.02,43,9,24,-1,18.028,True
cpsat_hint,600,0.02,43,9,24,-1,19.028,True
incr_repair,600,0.02,43,9,24,6,13.103,True
cpsat_rebuild,600,0.02,43,10,24,-1,16.553,True
cpsat_hint,600,0.02,43,10,24,-1,17.459,True
incr_repair,600,0.02,43,10,24,5,6.25,True
cpsat_rebuild,600,0.02,43,11,24,-1,16.47,True
cpsat_hint,600,0.02,43,11,24,-1,19.994,True
incr_repair,600,0.02,43,11,24,2,4.764,True
cpsat_rebuild,600,0.02,43,12,24,-1,17.891,True
cpsat_hint,600,0.02,43,12,24,-1,19.224,True
incr_repair,600,0.02,43,12,24,2,7.578,True
cpsat_rebuild,600,0.02,43,13,24,-1,17.4,True
cpsat_hint,600,0.02,43,13,24,-1,17.264,True
incr_repair,600,0.02,43,13,24,3,2.693,True
cpsat_rebuild,600,0.02,43,14,24,-1,18.647,True
cpsat_hint,600,0.02,43,14,24,-1,18.975,True
incr_repair,600,0.02,43,14,24,0,0.354,True
cpsat_rebuild,600,0.02,43,15,24,-1,16.545,True
cpsat_hint,600,0.02,43,15,24,-1,18.339,True
incr_repair,600,0.02,43,15,24,2,2.501,True
cpsat_rebuild,600,0.02,43,16,24,-1,18.334,True
cpsat_hint,600,0.02,43,16,24,-1,20.484,True
incr_repair,600,0.02,43,16,24,1,2.314,True
cpsat_rebuild,600,0.02,43,17,24,-1,19.062,True
cpsat_hint,600,0.02,43,17,24,-1,18.624,True
incr_repair,600,0.02,43,17,24,1,7.229,True
cpsat_rebuild,600,0.02,43,18,24,-1,16.927,True
cpsat_hint,600,0.02,43,18,24,-1,19.048,True
incr_repair,600,0.02,43,18,24,3,2.947,True
cpsat_rebuild,600,0.02,43,19,24,-1,17.616,True
cpsat_hint,600,0.02,43,19,24,-1,19.803,True
incr_repair,600,0.02,43,19,24,2,2.733,True
cpsat_rebuild,600,0.02,43,20,24,-1,16.42,True
cpsat_hint,600,0.02,43,20,24,-1,15.648,True
incr_repair,600,0.02,43,20,24,3,2.246,True
cpsat_rebuild,600,0.02,43,21,24,-1,16.064,True
cpsat_hint,600,0.02,43,21,24,-1,15.327,True
incr_repair,600,0.02,43,21,24,0,0.373,True
cpsat_rebuild,600,0.02,43,22,24,-1,14.49,True
cpsat_hint,600,0.02,43,22,24,-1,15.544,True
incr_repair,600,0.02,43,22,24,1,2.326,True
cpsat_rebuild,600,0.02,43,23,24,-1,15.077,True
cpsat_hint,600,0.02,43,23,24,-1,15.961,True
incr_repair,600,0.02,43,23,24,1,2.473,True
cpsat_rebuild,600,0.02,43,24,24,-1,14.819,True
cpsat_hint,600,0.02,43,24,24,-1,15.667,True
incr_repair,600,0.02,43,24,24,2,2.509,True
cpsat_rebuild,600,0.02,43,25,24,-1,12.871,True
cpsat_hint,600,0.02,43,25,24,-1,13.99,True
incr_repair,600,0.02,43,25,24,1,2.227,True
cpsat_rebuild,600,0.02,43,26,24,-1,12.81,True
cpsat_hint,600,0.02,43,26,24,-1,13.687,True
incr_repair,600,0.02,43,26,24,1,2.148,True
cpsat_rebuild,600,0.02,43,27,24,-1,13.191,True
cpsat_hint,600,0.02,43,27,24,-1,13.703,True
incr_repair,600,0.02,43,27,24,6,3.573,True
cpsat_rebuild,600,0.02,43,28,24,-1,13.023,True
cpsat_hint,600,0.02,43,28,24,-1,13.732,True
incr_repair,600,0.02,43,28,24,2,2.414,True
cpsat_rebuild,600,0.02,43,29,24,-1,12.661,True
cpsat_hint,600,0.02,43,29,24,-1,13.943,True
incr_repair,600,0.02,43,29,24,2,2.209,True
cpsat_rebuild,600,0.02,43,30,24,-1,14.861,True
cpsat_hint,600,0.02,43,30,24,-1,16.473,True
incr_repair,600,0.02,43,30,24,3,2.561,True
cpsat_rebuild,600,0.02,44,1,24,-1,27.464,True
cpsat_hint,600,0.02,44,1,24,-1,25.949,True
incr_repair,600,0.02,44,1,24,4,8.504,True
cpsat_rebuild,600,0.02,44,2,24,-1,20.156,True
cpsat_hint,600,0.02,44,2,24,-1,20.332,True
incr_repair,600,0.02,44,2,24,4,2.601,True
cpsat_rebuild,600,0.02,44,3,24,-1,19.486,True
cpsat_hint,600,0.02,44,3,24,-1,20.498,True
incr_repair,600,0.02,44,3,24,3,3.425,True
cpsat_rebuild,600,0.02,44,4,24,-1,19.354,True
cpsat_hint,600,0.02,44,4,24,-1,20.228,True
incr_repair,600,0.02,44,4,24,4,5.866,True
cpsat_rebuild,600,0.02,44,5,24,-1,22.082,True
cpsat_hint,600,0.02,44,5,24,-1,23.974,True
incr_repair,600,0.02,44,5,24,7,20.112,True
cpsat_rebuild,600,0.02,44,6,24,-1,21.232,True
cpsat_hint,600,0.02,44,6,24,-1,26.618,True
incr_repair,600,0.02,44,6,24,2,2.543,True
cpsat_rebuild,600,0.02,44,7,24,-1,23.161,True
cpsat_hint,600,0.02,44,7,24,-1,21.503,True
incr_repair,600,0.02,44,7,24,3,10.086,True
cpsat_rebuild,600,0.02,44,8,24,-1,17.999,True
cpsat_hint,600,0.02,44,8,24,-1,19.135,True
incr_repair,600,0.02,44,8,24,0,0.363,True
cpsat_rebuild,600,0.02,44,9,24,-1,17.52,True
cpsat_hint,600,0.02,44,9,24,-1,17.781,True
incr_repair,600,0.02,44,9,24,4,2.751,True
cpsat_rebuild,600,0.02,44,10,24,-1,16.159,True
cpsat_hint,600,0.02,44,10,24,-1,17.441,True
incr_repair,600,0.02,44,10,24,3,2.559,True
cpsat_rebuild,600,0.02,44,11,24,-1,15.451,True
cpsat_hint,600,0.02,44,11,24,-1,16.486,True
incr_repair,600,0.02,44,11,24,4,3.731,True
cpsat_rebuild,600,0.02,44,12,24,-1,15.492,True
cpsat_hint,600,0.02,44,12,24,-1,16.442,True
incr_repair,600,0.02,44,12,24,2,2.379,True
cpsat_rebuild,600,0.02,44,13,24,-1,15.02,True
cpsat_hint,600,0.02,44,13,24,-1,16.149,True
incr_repair,600,0.02,44,13,24,2,3.644,True
cpsat_rebuild,600,0.02,44,14,24,-1,17.751,True
cpsat_hint,600,0.02,44,14,24,-1,18.39,True
incr_repair,600,0.02,44,14,24,1,2.313,True
cpsat_rebuild,600,0.02,44,15,24,-1,18.052,True
cpsat_hint,600,0.02,44,15,24,-1,22.102,True
incr_repair,600,0.02,44,15,24,3,3.432,True
cpsat_rebuild,600,0.02,44,16,24,-1,18.979,True
cpsat_hint,600,0.02,44,16,24,-1,18.106,True
incr_repair,600,0.02,44,16,24,3,2.688,True
cpsat_rebuild,600,0.02,44,17,24,-1,14.764,True
cpsat_hint,600,0.02,44,17,24,-1,15.836,True
incr_repair,600,0.02,44,17,24,2,3.474,True
cpsat_rebuild,600,0.02,44,18,24,-1,18.652,True
cpsat_hint,600,0.02,44,18,24,-1,21.164,True
incr_repair,600,0.02,44,18,24,1,5.805,True
cpsat_rebuild,600,0.02,44,19,24,-1,18.883,True
cpsat_hint,600,0.02,44,19,24,-1,21.222,True
incr_repair,600,0.02,44,19,24,0,0.365,True
cpsat_rebuild,600,0.02,44,20,24,-1,19.622,True
cpsat_hint,600,0.02,44,20,24,-1,19.538,True
incr_repair,600,0.02,44,20,24,0,0.372,True
cpsat_rebuild,600,0.02,44,21,24,-1,16.527,True
cpsat_hint,600,0.02,44,21,24,-1,19.441,True
incr_repair,600,0.02,44,21,24,3,6.907,True
cpsat_rebuild,600,0.02,44,22,24,-1,16.682,True
cpsat_hint,600,0.02,44,22,24,-1,17.395,True
incr_repair,600,0.02,44,22,24,2,2.272,True
cpsat_rebuild,600,0.02,44,23,24,-1,16.238,True
cpsat_hint,600,0.02,44,23,24,-1,15.659,True
incr_repair,600,0.02,44,23,24,0,0.397,True
cpsat_rebuild,600,0.02,44,24,24,-1,14.447,True
cpsat_hint,600,0.02,44,24,24,-1,17.585,True
incr_repair,600,0.02,44,24,24,3,2.293,True
cpsat_rebuild,600,0.02,44,25,24,-1,16.374,True
cpsat_hint,600,0.02,44,25,24,-1,17.716,True
incr_repair,600,0.02,44,25,24,1,2.106,True
cpsat_rebuild,600,0.02,44,26,24,-1,15.637,True
cpsat_hint,600,0.02,44,26,24,-1,17.629,True
incr_repair,600,0.02,44,26,24,1,2.285,True
cpsat_rebuild,600,0.02,44,27,24,-1,16.388,True
cpsat_hint,600,0.02,44,27,24,-1,16.894,True
incr_repair,600,0.02,44,27,24,0,0.362,True
cpsat_rebuild,600,0.02,44,28,24,-1,16.555,True
cpsat_hint,600,0.02,44,28,24,-1,17.377,True
incr_repair,600,0.02,44,28,24,0,2.403,True
cpsat_rebuild,600,0.02,44,29,24,-1,15.359,True
cpsat_hint,600,0.02,44,29,24,-1,14.573,True
incr_repair,600,0.02,44,29,24,1,2.607,True
cpsat_rebuild,600,0.02,44,30,24,-1,15.345,True
cpsat_hint,600,0.02,44,30,24,-1,16.488,True
incr_repair,600,0.02,44,30,24,1,2.015,True
