method,n,seed,total_time_ns,outcome,peak_mem_mb
ConsistXApp expl,50,48,251898700,direct,0.0
CP-SAT,50,49,6033100,full_repair,0.0
GAC + CP-SAT,50,49,5913300,full_repair,0.0
GAC + expl repair,50,49,4018400,local_repair,0.0
ConsistXApp expl,50,49,235302600,local_repair,0.0
CP-SAT,50,50,5549400,full_repair,0.0
GAC + CP-SAT,50,50,5704400,full_repair,0.0
GAC + expl repair,50,50,3068000,local_repair,0.0
ConsistXApp expl,50,50,265666200,direct,0.0
CP-SAT,50,51,4048100,full_repair,0.0
GAC + CP-SAT,50,51,4076200,full_repair,0.0
GAC + expl repair,50,51,2289800,local_repair,0.0
ConsistXApp expl,50,51,167734500,local_repair,0.0
CP-SAT,100,42,12316600,full_repair,0.0
GAC + CP-SAT,100,42,12160200,full_repair,0.0
GAC + expl repair,100,42,7439500,local_repair,0.0
ConsistXApp expl,100,42,647397200,local_repair,0.0
CP-SAT,100,43,10248400,full_repair,0.0
GAC + CP-SAT,100,43,11121600,full_repair,0.0
GAC + expl repair,100,43,11369000,local_repair,0.0
ConsistXApp expl,100,43,616822000,local_repair,0.0
CP-SAT,100,44,12513400,full_repair,0.0
GAC + CP-SAT,100,44,12849400,full_repair,0.0
GAC + expl repair,100,44,10337500,local_repair,0.0
ConsistXApp expl,100,44,836544400,local_repair,0.0
CP-SAT,100,45,12339900,full_repair,0.0
GAC + CP-SAT,100,45,12768600,full_repair,0.0
GAC + expl repair,100,45,12822400,local_repair,0.0
ConsistXApp expl,100,45,692915700,direct,0.0
CP-SAT,100,46,15515600,full_repair,0.0
GAC + CP-SAT,100,46,15789700,full_repair,0.0
GAC + expl repair,100,46,13412500,local_repair,0.0
ConsistXApp expl,100,46,950749700,local_repair,0.0
CP-SAT,100,47,12688300,full_repair,0.0
GAC + CP-SAT,100,47,13010000,full_repair,0.0
GAC + expl repair,100,47,8761100,local_repair,0.0
ConsistXApp expl,100,47,823627600,direct,0.0
CP-SAT,100,48,9883000,full_repair,0.0
GAC + CP-SAT,100,48,10356800,full_repair,0.0
GAC + expl repair,100,48,6202300,local_repair,0.0
ConsistXApp expl,100,48,529801100,direct,0.0
CP-SAT,100,49,10980500,full_repair,0.0
GAC + CP-SAT,100,49,11356100,full_repair,0.0
GAC + expl repair,100,49,6985300,local_repair,0.0
ConsistXApp expl,100,49,610798000,direct,0.0
CP-SAT,100,50,12474400,full_repair,0.0
GAC + CP-SAT,100,50,12686700,full_repair,0.0
GAC + expl repair,100,50,9425200,local_repair,0.0
ConsistXApp expl,100,50,701893400,direct,0.0
CP-SAT,100,51,10880800,full_repair,0.0
GAC + CP-SAT,100,51,11165000,full_repair,0.0
GAC + expl repair,100,51,6080900,local_repair,0.0
ConsistXApp expl,100,51,618182900,direct,0.0
CP-SAT,200,42,22894000,full_repair,0.0
GAC + CP-SAT,200,42,24575400,full_repair,0.0
GAC + expl repair,200,42,18632200,local_repair,0.0
ConsistXApp expl,200,42,1252865200,local_repair,0.0
CP-SAT,200,43,23315800,full_repair,0.0
GAC + CP-SAT,200,43,24465800,full_repair,0.0
GAC + expl repair,200,43,14282600,local_repair,0.0
ConsistXApp expl,200,43,1307388000,local_repair,0.0
CP-SAT,200,44,23060500,full_repair,0.0
GAC + CP-SAT,200,44,24475600,full_repair,0.0
GAC + expl repair,200,44,15882900,local_repair,0.0
ConsistXApp expl,200,44,1273036500,local_repair,0.0
CP-SAT,200,45,22259900,full_repair,0.0
GAC + CP-SAT,200,45,23607500,full_repair,0.0
GAC + expl repair,200,45,15038300,local_repair,0.0
ConsistXApp expl,200,45,1403269500,local_repair,0.0
CP-SAT,200,46,20692800,full_repair,0.0
GAC + CP-SAT,200,46,21582600,full_repair,0.0
GAC + expl repair,200,46,14101100,local_repair,0.0
ConsistXApp expl,200,46,1257910600,local_repair,0.0
CP-SAT,200,47,19988300,full_repair,0.0
GAC + CP-SAT,200,47,20799000,full_repair,0.0
GAC + expl repair,200,47,11467400,local_repair,0.0
ConsistXApp expl,200,47,1066418400,local_repair,0.0
CP-SAT,200,48,24122900,full_repair,0.0
GAC + CP-SAT,200,48,26361200,full_repair,0.0
GAC + expl repair,200,48,15355600,local_repair,0.0
ConsistXApp expl,200,48,1363520700,local_repair,0.0
CP-SAT,200,49,30496300,full_repair,0.0
GAC + CP-SAT,200,49,27947900,full_repair,0.0
GAC + expl repair,200,49,29500100,local_repair,0.0
ConsistXApp expl,200,49,1732474600,direct,0.0
CP-SAT,200,50,19890000,full_repair,0.0
GAC + CP-SAT,200,50,20892500,full_repair,0.0
GAC + expl repair,200,50,13194100,local_repair,0.0
ConsistXApp expl,200,50,1158689400,local_repair,0.0
CP-SAT,200,51,26492000,full_repair,0.0
GAC + CP-SAT,200,51,27429600,full_repair,0.0
GAC + expl repair,200,51,28242000,local_repair,0.0
ConsistXApp expl,200,51,1698368400,direct,0.0
CP-SAT,500,42,53030500,full_repair,0.0
GAC + CP-SAT,500,42,55146400,full_repair,0.0
GAC + expl repair,500,42,39941400,local_repair,0.0
ConsistXApp expl,500,42,3205646400,local_repair,0.0
CP-SAT,500,43,53307700,full_repair,0.0
GAC + CP-SAT,500,43,55481100,full_repair,0.0
GAC + expl repair,500,43,36688500,local_repair,0.0
ConsistXApp expl,500,43,3039927400,local_repair,0.0
CP-SAT,500,44,57107500,full_repair,0.0
GAC + CP-SAT,500,44,60216500,full_repair,0.0
GAC + expl repair,500,44,38248600,local_repair,0.0
ConsistXApp expl,500,44,3479174500,local_repair,0.0
CP-SAT,500,45,56240500,full_repair,0.0
GAC + CP-SAT,500,45,61617200,full_repair,0.0
GAC + expl repair,500,45,39880000,local_repair,0.0
ConsistXApp expl,500,45,3555372500,local_repair,0.0
CP-SAT,500,46,55657400,full_repair,0.0
GAC + CP-SAT,500,46,59480200,full_repair,0.0
GAC + expl repair,500,46,61685400,local_repair,0.0
ConsistXApp expl,500,46,3574002500,local_repair,0.0
CP-SAT,500,47,58487300,full_repair,0.0
GAC + CP-SAT,500,47,61874900,full_repair,0.0
GAC + expl repair,500,47,48822200,local_repair,0.0
ConsistXApp expl,500,47,3637903300,direct,0.0
CP-SAT,500,48,52790000,full_repair,0.0
GAC + CP-SAT,500,48,56408700,full_repair,0.0
GAC + expl repair,500,48,61826800,local_repair,0.0
