method,n,delta,seed,epoch,changed_rels,violated_rels,total_ms,verified
cpsat_rebuild,1000,0.02,43,2,40,-1,31.38,True
cpsat_hint,1000,0.02,43,2,40,-1,32.786,True
incr_repair,1000,0.02,43,2,40,10,49.612,True
cpsat_rebuild,1000,0.02,43,3,40,-1,30.974,True
cpsat_hint,1000,0.02,43,3,40,-1,33.252,True
incr_repair,1000,0.02,43,3,40,9,11.843,True
cpsat_rebuild,1000,0.02,43,4,40,-1,31.273,True
cpsat_hint,1000,0.02,43,4,40,-1,32.736,True
incr_repair,1000,0.02,43,4,40,1,3.336,True
cpsat_rebuild,1000,0.02,43,5,40,-1,30.591,True
cpsat_hint,1000,0.02,43,5,40,-1,32.747,True
incr_repair,1000,0.02,43,5,40,6,23.526,True
cpsat_rebuild,1000,0.02,43,6,40,-1,29.73,True
cpsat_hint,1000,0.02,43,6,40,-1,30.953,True
incr_repair,1000,0.02,43,6,40,5,11.203,True
cpsat_rebuild,1000,0.02,43,7,40,-1,27.944,True
cpsat_hint,1000,0.02,43,7,40,-1,29.5,True
incr_repair,1000,0.02,43,7,40,9,90.249,True
cpsat_rebuild,1000,0.02,43,8,40,-1,27.589,True
cpsat_hint,1000,0.02,43,8,40,-1,29.427,True
incr_repair,1000,0.02,43,8,40,2,3.523,True
cpsat_rebuild,1000,0.02,43,9,40,-1,27.232,True
cpsat_hint,1000,0.02,43,9,40,-1,29.236,True
incr_repair,1000,0.02,43,9,40,2,13.555,True
cpsat_rebuild,1000,0.02,43,10,40,-1,26.629,True
cpsat_hint,1000,0.02,43,10,40,-1,28.898,True
incr_repair,1000,0.02,43,10,40,2,10.275,True
cpsat_rebuild,1000,0.02,43,11,40,-1,26.204,True
cpsat_hint,1000,0.02,43,11,40,-1,27.978,True
incr_repair,1000,0.02,43,11,40,4,8.393,True
cpsat_rebuild,1000,0.02,43,12,40,-1,25.375,True
cpsat_hint,1000,0.02,43,12,40,-1,26.582,True
incr_repair,1000,0.02,43,12,40,5,12.67,True
cpsat_rebuild,1000,0.02,43,13,40,-1,24.601,True
cpsat_hint,1000,0.02,43,13,40,-1,27.372,True
incr_repair,1000,0.02,43,13,40,3,4.766,True
cpsat_rebuild,1000,0.02,43,14,40,-1,24.577,True
cpsat_hint,1000,0.02,43,14,40,-1,26.965,True
incr_repair,1000,0.02,43,14,40,6,4.2,True
cpsat_rebuild,1000,0.02,43,15,40,-1,23.697,True
cpsat_hint,1000,0.02,43,15,40,-1,24.701,True
incr_repair,1000,0.02,43,15,40,3,8.188,True
cpsat_rebuild,1000,0.02,43,16,40,-1,23.216,True
cpsat_hint,1000,0.02,43,16,40,-1,25.064,True
incr_repair,1000,0.02,43,16,40,2,8.547,True
cpsat_rebuild,1000,0.02,43,17,40,-1,23.029,True
cpsat_hint,1000,0.02,43,17,40,-1,24.348,True
incr_repair,1000,0.02,43,17,40,2,8.086,True
cpsat_rebuild,1000,0.02,43,18,40,-1,22.748,True
cpsat_hint,1000,0.02,43,18,40,-1,24.517,True
incr_repair,1000,0.02,43,18,40,10,39.168,True
cpsat_rebuild,1000,0.02,43,19,40,-1,23.495,True
cpsat_hint,1000,0.02,43,19,40,-1,24.514,True
incr_repair,1000,0.02,43,19,40,4,5.16,True
cpsat_rebuild,1000,0.02,43,20,40,-1,22.603,True
cpsat_hint,1000,0.02,43,20,40,-1,24.546,True
incr_repair,1000,0.02,43,20,40,2,3.365,True
cpsat_rebuild,1000,0.02,43,21,40,-1,22.826,True
cpsat_hint,1000,0.02,43,21,40,-1,24.42,True
incr_repair,1000,0.02,43,21,40,1,3.194,True
cpsat_rebuild,1000,0.02,43,22,40,-1,22.081,True
cpsat_hint,1000,0.02,43,22,40,-1,24.038,True
incr_repair,1000,0.02,43,22,40,0,0.752,True
cpsat_rebuild,1000,0.02,43,23,40,-1,22.304,True
cpsat_hint,1000,0.02,43,23,40,-1,23.684,True
incr_repair,1000,0.02,43,23,40,1,3.369,True
cpsat_rebuild,1000,0.02,43,24,40,-1,22.577,True
cpsat_hint,1000,0.02,43,24,40,-1,24.663,True
incr_repair,1000,0.02,43,24,40,5,8.967,True
cpsat_rebuild,1000,0.02,43,25,40,-1,23.131,True
cpsat_hint,1000,0.02,43,25,40,-1,24.818,True
incr_repair,1000,0.02,43,25,40,6,6.994,True
cpsat_rebuild,1000,0.02,43,26,40,-1,22.6,True
cpsat_hint,1000,0.02,43,26,40,-1,25.267,True
incr_repair,1000,0.02,43,26,40,3,10.421,True
cpsat_rebuild,1000,0.02,43,27,40,-1,22.609,True
cpsat_hint,1000,0.02,43,27,40,-1,24.114,True
incr_repair,1000,0.02,43,27,40,3,7.526,True
cpsat_rebuild,1000,0.02,43,28,40,-1,23.811,True
cpsat_hint,1000,0.02,43,28,40,-1,24.253,True
incr_repair,1000,0.02,43,28,40,4,4.351,True
cpsat_rebuild,1000,0.02,43,29,40,-1,22.318,True
cpsat_hint,1000,0.02,43,29,40,-1,24.678,True
incr_repair,1000,0.02,43,29,40,1,3.497,True
cpsat_rebuild,1000,0.02,43,30,40,-1,21.699,True
cpsat_hint,1000,0.02,43,30,40,-1,23.818,True
incr_repair,1000,0.02,43,30,40,1,3.886,True
