method,n,delta,seed,epoch,changed_rels,violated_rels,total_ms,build_ms,solve_ms,verified
cpsat_rebuild,600,0.02,42,26,32,-1,16.272,4.34,11.923,True
cpsat_hint,600,0.02,42,26,32,-1,16.849,5.209,11.632,True
incr_repair,600,0.02,42,26,32,7,4.433,0.0,0.0,True
cpsat_rebuild,600,0.02,42,27,44,-1,16.347,4.128,12.211,True
cpsat_hint,600,0.02,42,27,44,-1,17.357,5.362,11.945,True
incr_repair,600,0.02,42,27,44,6,5.285,0.0,0.0,True
cpsat_rebuild,600,0.02,42,28,37,-1,16.197,4.156,12.032,True
cpsat_hint,600,0.02,42,28,37,-1,16.93,5.275,11.647,True
incr_repair,600,0.02,42,28,37,5,3.022,0.0,0.0,True
cpsat_rebuild,600,0.02,42,29,35,-1,16.742,4.061,12.673,True
cpsat_hint,600,0.02,42,29,35,-1,19.316,5.555,13.753,True
incr_repair,600,0.02,42,29,35,2,5.404,0.0,0.0,True
cpsat_rebuild,600,0.02,42,30,43,-1,16.787,4.115,12.663,True
cpsat_hint,600,0.02,42,30,43,-1,17.764,5.242,12.512,True
incr_repair,600,0.02,42,30,43,4,5.13,0.0,0.0,True
cpsat_rebuild,600,0.02,43,1,44,-1,18.895,4.316,14.57,True
cpsat_hint,600,0.02,43,1,44,-1,19.547,5.344,14.195,True
incr_repair,600,0.02,43,1,44,4,22.435,0.0,0.0,True
cpsat_rebuild,600,0.02,43,2,35,-1,19.32,4.436,14.876,True
cpsat_hint,600,0.02,43,2,35,-1,19.619,5.303,14.308,True
incr_repair,600,0.02,43,2,35,8,10.068,0.0,0.0,True
cpsat_rebuild,600,0.02,43,3,31,-1,19.138,4.197,14.933,True
cpsat_hint,600,0.02,43,3,31,-1,19.707,5.27,14.429,True
incr_repair,600,0.02,43,3,31,6,3.131,0.0,0.0,True
cpsat_rebuild,600,0.02,43,4,34,-1,19.169,4.249,14.911,True
cpsat_hint,600,0.02,43,4,34,-1,20.213,5.718,14.486,True
incr_repair,600,0.02,43,4,34,2,2.17,0.0,0.0,True
cpsat_rebuild,600,0.02,43,5,43,-1,19.213,4.243,14.961,True
cpsat_hint,600,0.02,43,5,43,-1,19.835,5.566,14.26,True
incr_repair,600,0.02,43,5,43,5,2.994,0.0,0.0,True
cpsat_rebuild,600,0.02,43,6,35,-1,19.429,4.137,15.285,True
cpsat_hint,600,0.02,43,6,35,-1,21.804,5.486,16.307,True
incr_repair,600,0.02,43,6,35,3,2.988,0.0,0.0,True
cpsat_rebuild,600,0.02,43,7,37,-1,20.163,4.149,16.006,True
cpsat_hint,600,0.02,43,7,37,-1,21.123,5.763,15.348,True
incr_repair,600,0.02,43,7,37,3,2.613,0.0,0.0,True
cpsat_rebuild,600,0.02,43,8,41,-1,19.608,4.216,15.383,True
cpsat_hint,600,0.02,43,8,41,-1,20.343,5.378,14.957,True
incr_repair,600,0.02,43,8,41,5,8.962,0.0,0.0,True
cpsat_rebuild,600,0.02,43,9,38,-1,18.576,4.129,14.438,True
cpsat_hint,600,0.02,43,9,38,-1,19.322,5.232,14.081,True
incr_repair,600,0.02,43,9,38,7,3.764,0.0,0.0,True
cpsat_rebuild,600,0.02,43,10,38,-1,19.99,5.695,14.284,True
cpsat_hint,600,0.02,43,10,38,-1,19.69,5.446,14.235,True
incr_repair,600,0.02,43,10,38,4,6.835,0.0,0.0,True
cpsat_rebuild,600,0.02,43,11,35,-1,19.071,4.585,14.475,True
cpsat_hint,600,0.02,43,11,35,-1,19.639,5.442,14.188,True
incr_repair,600,0.02,43,11,35,1,2.387,0.0,0.0,True
cpsat_rebuild,600,0.02,43,12,41,-1,18.514,4.254,14.251,True
cpsat_hint,600,0.02,43,12,41,-1,19.765,5.893,13.862,True
incr_repair,600,0.02,43,12,41,1,2.428,0.0,0.0,True
cpsat_rebuild,600,0.02,43,13,39,-1,18.52,4.223,14.289,True
cpsat_hint,600,0.02,43,13,39,-1,19.374,5.245,14.121,True
incr_repair,600,0.02,43,13,39,1,2.315,0.0,0.0,True
cpsat_rebuild,600,0.02,43,14,31,-1,18.103,4.103,13.992,True
cpsat_hint,600,0.02,43,14,31,-1,19.311,5.415,13.882,True
incr_repair,600,0.02,43,14,31,2,2.708,0.0,0.0,True
cpsat_rebuild,600,0.02,43,15,39,-1,18.081,4.203,13.868,True
cpsat_hint,600,0.02,43,15,39,-1,19.485,5.662,13.814,True
incr_repair,600,0.02,43,15,39,5,4.761,0.0,0.0,True
cpsat_rebuild,600,0.02,43,16,43,-1,19.024,4.306,14.707,True
cpsat_hint,600,0.02,43,16,43,-1,19.753,5.631,14.112,True
incr_repair,600,0.02,43,16,43,7,4.457,0.0,0.0,True
cpsat_rebuild,600,0.02,43,17,39,-1,18.664,4.167,14.488,True
cpsat_hint,600,0.02,43,17,39,-1,19.58,5.382,14.18,True
incr_repair,600,0.02,43,17,39,8,8.203,0.0,0.0,True
cpsat_rebuild,600,0.02,43,18,45,-1,19.39,4.178,15.2,True
cpsat_hint,600,0.02,43,18,45,-1,20.527,5.381,15.137,True
incr_repair,600,0.02,43,18,45,3,3.486,0.0,0.0,True
cpsat_rebuild,600,0.02,43,19,37,-1,19.621,4.137,15.477,True
cpsat_hint,600,0.02,43,19,37,-1,21.066,5.873,15.183,True
incr_repair,600,0.02,43,19,37,1,2.309,0.0,0.0,True
cpsat_rebuild,600,0.02,43,20,38,-1,19.924,4.21,15.706,True
cpsat_hint,600,0.02,43,20,38,-1,19.995,5.218,14.769,True
incr_repair,600,0.02,43,20,38,3,3.754,0.0,0.0,True
cpsat_rebuild,600,0.02,43,21,41,-1,18.892,4.199,14.682,True
cpsat_hint,600,0.02,43,21,41,-1,19.725,5.588,14.128,True
incr_repair,600,0.02,43,21,41,5,8.122,0.0,0.0,True
cpsat_rebuild,600,0.02,43,22,41,-1,18.831,4.137,14.684,True
cpsat_hint,600,0.02,43,22,41,-1,19.738,5.229,14.501,True
incr_repair,600,0.02,43,22,41,6,3.199,0.0,0.0,True
cpsat_rebuild,600,0.02,43,23,34,-1,18.384,4.068,14.307,True
cpsat_hint,600,0.02,43,23,34,-1,19.54,5.578,13.952,True
incr_repair,600,0.02,43,23,34,5,3.896,0.0,0.0,True
cpsat_rebuild,600,0.02,43,24,39,-1,18.819,4.061,14.75,True
cpsat_hint,600,0.02,43,24,39,-1,19.555,5.2,14.348,True
incr_repair,600,0.02,43,24,39,6,11.746,0.0,0.0,True
cpsat_rebuild,600,0.02,43,25,44,-1,16.974,4.024,12.943,True
cpsat_hint,600,0.02,43,25,44,-1,17.991,5.2,12.784,True
incr_repair,600,0.02,43,25,44,6,69.17,0.0,0.0,True
cpsat_rebuild,600,0.02,43,26,50,-1,18.009,4.414,13.586,True
cpsat_hint,600,0.02,43,26,50,-1,17.934,5.254,12.672,True
incr_repair,600,0.02,43,26,50,5,2.861,0.0,0.0,True
cpsat_rebuild,600,0.02,43,27,36,-1,17.011,3.994,13.01,True
cpsat_hint,600,0.02,43,27,36,-1,17.998,5.47,12.522,True
incr_repair,600,0.02,43,27,36,5,4.558,0.0,0.0,True
cpsat_rebuild,600,0.02,43,28,38,-1,16.26,4.154,12.098,True
cpsat_hint,600,0.02,43,28,38,-1,17.122,5.113,12.001,True
incr_repair,600,0.02,43,28,38,5,4.431,0.0,0.0,True
cpsat_rebuild,600,0.02,43,29,36,-1,16.328,4.053,12.268,True
cpsat_hint,600,0.02,43,29,36,-1,17.246,5.166,12.072,True
incr_repair,600,0.02,43,29,36,6,10.283,0.0,0.0,True
cpsat_rebuild,600,0.02,43,30,39,-1,16.708,4.073,12.618,True
cpsat_hint,600,0.02,43,30,39,-1,17.678,5.334,12.335,True
incr_repair,600,0.02,43,30,39,6,3.57,0.0,0.0,True
cpsat_rebuild,600,0.02,44,1,37,-1,21.68,4.279,17.392,True
cpsat_hint,600,0.02,44,1,37,-1,24.074,6.284,17.778,True
incr_repair,600,0.02,44,1,37,4,2.837,0.0,0.0,True
cpsat_rebuild,600,0.02,44,2,38,-1,19.976,4.322,15.647,True
cpsat_hint,600,0.02,44,2,38,-1,20.801,5.827,14.966,True
incr_repair,600,0.02,44,2,38,4,3.976,0.0,0.0,True
cpsat_rebuild,600,0.02,44,3,37,-1,18.496,4.198,14.29,True
cpsat_hint,600,0.02,44,3,37,-1,19.177,5.247,13.924,True
incr_repair,600,0.02,44,3,37,2,7.884,0.0,0.0,True
cpsat_rebuild,600,0.02,44,4,41,-1,18.554,4.174,14.372,True
cpsat_hint,600,0.02,44,4,41,-1,19.078,5.329,13.741,True
incr_repair,600,0.02,44,4,41,3,9.25,0.0,0.0,True
cpsat_rebuild,600,0.02,44,5,30,-1,18.491,4.249,14.234,True
cpsat_hint,600,0.02,44,5,30,-1,19.256,5.254,13.995,True
incr_repair,600,0.02,44,5,30,5,6.566,0.0,0.0,True
cpsat_rebuild,600,0.02,44,6,39,-1,21.161,4.252,16.901,True
cpsat_hint,600,0.02,44,6,39,-1,20.956,5.213,15.736,True
incr_repair,600,0.02,44,6,39,1,2.494,0.0,0.0,True
cpsat_rebuild,600,0.02,44,7,38,-1,16.996,4.55,12.438,True
cpsat_hint,600,0.02,44,7,38,-1,18.048,5.661,12.379,True
incr_repair,600,0.02,44,7,38,4,2.843,0.0,0.0,True
cpsat_rebuild,600,0.02,44,8,36,-1,18.82,4.159,14.653,True
cpsat_hint,600,0.02,44,8,36,-1,19.479,5.647,13.821,True
incr_repair,600,0.02,44,8,36,4,3.137,0.0,0.0,True
cpsat_rebuild,600,0.02,44,9,44,-1,18.068,4.213,13.848,True
cpsat_hint,600,0.02,44,9,44,-1,19.472,5.751,13.711,True
incr_repair,600,0.02,44,9,44,4,8.403,0.0,0.0,True
cpsat_rebuild,600,0.02,44,10,40,-1,18.601,4.257,14.335,True
cpsat_hint,600,0.02,44,10,40,-1,20.268,5.496,14.759,True
incr_repair,600,0.02,44,10,40,3,2.732,0.0,0.0,True
cpsat_rebuild,600,0.02,44,11,42,-1,18.51,4.59,13.908,True
cpsat_hint,600,0.02,44,11,42,-1,19.286,5.808,13.469,True
incr_repair,600,0.02,44,11,42,4,21.227,0.0,0.0,True
cpsat_rebuild,600,0.02,44,12,37,-1,16.669,4.151,12.51,True
cpsat_hint,600,0.02,44,12,37,-1,17.403,5.349,12.045,True
incr_repair,600,0.02,44,12,37,4,3.124,0.0,0.0,True
cpsat_rebuild,600,0.02,44,13,43,-1,16.928,4.712,12.204,True
cpsat_hint,600,0.02,44,13,43,-1,18.031,5.81,12.209,True
incr_repair,600,0.02,44,13,43,10,4.842,0.0,0.0,True
cpsat_rebuild,600,0.02,44,14,36,-1,16.202,4.176,12.018,True
cpsat_hint,600,0.02,44,14,36,-1,18.503,5.354,13.14,True
incr_repair,600,0.02,44,14,36,5,3.671,0.0,0.0,True
cpsat_rebuild,600,0.02,44,15,40,-1,16.144,4.26,11.875,True
cpsat_hint,600,0.02,44,15,40,-1,17.585,5.541,12.036,True
incr_repair,600,0.02,44,15,40,4,2.8,0.0,0.0,True
cpsat_rebuild,600,0.02,44,16,39,-1,16.656,4.203,12.445,True
cpsat_hint,600,0.02,44,16,39,-1,17.615,5.304,12.302,True
incr_repair,600,0.02,44,16,39,3,2.799,0.0,0.0,True
cpsat_rebuild,600,0.02,44,17,37,-1,16.582,4.679,11.892,True
cpsat_hint,600,0.02,44,17,37,-1,18.005,6.225,11.771,True
