method,n,delta,seed,epoch,changed_rels,violated_rels,total_ms,verified
cpsat_rebuild,100,0.02,43,12,4,-1,3.318,True
cpsat_hint,100,0.02,43,12,4,-1,3.679,True
incr_repair,100,0.02,43,12,4,0,0.053,True
cpsat_rebuild,100,0.02,43,13,4,-1,3.413,True
cpsat_hint,100,0.02,43,13,4,-1,3.471,True
incr_repair,100,0.02,43,13,4,0,0.051,True
cpsat_rebuild,100,0.02,43,14,4,-1,4.08,True
cpsat_hint,100,0.02,43,14,4,-1,5.735,True
incr_repair,100,0.02,43,14,4,0,0.052,True
cpsat_rebuild,100,0.02,43,15,4,-1,3.504,True
cpsat_hint,100,0.02,43,15,4,-1,3.556,True
incr_repair,100,0.02,43,15,4,0,0.052,True
cpsat_rebuild,100,0.02,43,16,4,-1,3.37,True
cpsat_hint,100,0.02,43,16,4,-1,5.703,True
incr_repair,100,0.02,43,16,4,0,0.053,True
cpsat_rebuild,100,0.02,43,17,4,-1,3.497,True
cpsat_hint,100,0.02,43,17,4,-1,3.486,True
incr_repair,100,0.02,43,17,4,0,0.051,True
cpsat_rebuild,100,0.02,43,18,4,-1,3.336,True
cpsat_hint,100,0.02,43,18,4,-1,6.702,True
incr_repair,100,0.02,43,18,4,0,0.083,True
cpsat_rebuild,100,0.02,43,19,4,-1,3.482,True
cpsat_hint,100,0.02,43,19,4,-1,3.57,True
incr_repair,100,0.02,43,19,4,0,0.051,True
cpsat_rebuild,100,0.02,43,20,4,-1,5.238,True
cpsat_hint,100,0.02,43,20,4,-1,3.62,True
incr_repair,100,0.02,43,20,4,1,0.812,True
cpsat_rebuild,100,0.02,43,21,4,-1,3.384,True
cpsat_hint,100,0.02,43,21,4,-1,3.488,True
incr_repair,100,0.02,43,21,4,1,0.826,True
cpsat_rebuild,100,0.02,43,22,4,-1,6.366,True
cpsat_hint,100,0.02,43,22,4,-1,3.409,True
incr_repair,100,0.02,43,22,4,0,0.053,True
cpsat_rebuild,100,0.02,43,23,4,-1,3.257,True
cpsat_hint,100,0.02,43,23,4,-1,3.409,True
incr_repair,100,0.02,43,23,4,0,0.051,True
cpsat_rebuild,100,0.02,43,24,4,-1,7.196,True
cpsat_hint,100,0.02,43,24,4,-1,3.384,True
incr_repair,100,0.02,43,24,4,1,0.842,True
cpsat_rebuild,100,0.02,43,25,4,-1,3.136,True
cpsat_hint,100,0.02,43,25,4,-1,6.458,True
incr_repair,100,0.02,43,25,4,0,0.052,True
cpsat_rebuild,100,0.02,43,26,4,-1,3.142,True
cpsat_hint,100,0.02,43,26,4,-1,3.152,True
incr_repair,100,0.02,43,26,4,1,0.779,True
cpsat_rebuild,100,0.02,43,27,4,-1,2.558,True
cpsat_hint,100,0.02,43,27,4,-1,5.605,True
incr_repair,100,0.02,43,27,4,2,0.93,True
cpsat_rebuild,100,0.02,43,28,4,-1,2.124,True
cpsat_hint,100,0.02,43,28,4,-1,2.265,True
incr_repair,100,0.02,43,28,4,2,0.847,True
cpsat_rebuild,100,0.02,43,29,4,-1,1.996,True
cpsat_hint,100,0.02,43,29,4,-1,2.18,True
incr_repair,100,0.02,43,29,4,0,0.05,True
cpsat_rebuild,100,0.02,43,30,4,-1,3.538,True
cpsat_hint,100,0.02,43,30,4,-1,2.291,True
incr_repair,100,0.02,43,30,4,0,0.069,True
cpsat_rebuild,100,0.02,44,1,4,-1,3.776,True
cpsat_hint,100,0.02,44,1,4,-1,3.78,True
incr_repair,100,0.02,44,1,4,1,5.607,True
cpsat_rebuild,100,0.02,44,2,4,-1,3.134,True
cpsat_hint,100,0.02,44,2,4,-1,3.233,True
incr_repair,100,0.02,44,2,4,2,9.019,True
cpsat_rebuild,100,0.02,44,3,4,-1,3.131,True
cpsat_hint,100,0.02,44,3,4,-1,3.213,True
incr_repair,100,0.02,44,3,4,0,0.053,True
cpsat_rebuild,100,0.02,44,4,4,-1,3.541,True
cpsat_hint,100,0.02,44,4,4,-1,5.639,True
incr_repair,100,0.02,44,4,4,0,0.052,True
cpsat_rebuild,100,0.02,44,5,4,-1,3.629,True
cpsat_hint,100,0.02,44,5,4,-1,3.591,True
incr_repair,100,0.02,44,5,4,0,0.052,True
cpsat_rebuild,100,0.02,44,6,4,-1,3.586,True
cpsat_hint,100,0.02,44,6,4,-1,5.478,True
incr_repair,100,0.02,44,6,4,0,0.052,True
cpsat_rebuild,100,0.02,44,7,4,-1,3.423,True
cpsat_hint,100,0.02,44,7,4,-1,3.35,True
incr_repair,100,0.02,44,7,4,0,0.051,True
cpsat_rebuild,100,0.02,44,8,4,-1,3.176,True
cpsat_hint,100,0.02,44,8,4,-1,5.146,True
incr_repair,100,0.02,44,8,4,0,0.087,True
cpsat_rebuild,100,0.02,44,9,4,-1,3.238,True
cpsat_hint,100,0.02,44,9,4,-1,3.244,True
incr_repair,100,0.02,44,9,4,1,0.76,True
cpsat_rebuild,100,0.02,44,10,4,-1,3.182,True
cpsat_hint,100,0.02,44,10,4,-1,3.555,True
incr_repair,100,0.02,44,10,4,1,0.792,True
cpsat_rebuild,100,0.02,44,11,4,-1,3.204,True
cpsat_hint,100,0.02,44,11,4,-1,3.166,True
incr_repair,100,0.02,44,11,4,1,0.953,True
cpsat_rebuild,100,0.02,44,12,4,-1,3.018,True
cpsat_hint,100,0.02,44,12,4,-1,5.239,True
incr_repair,100,0.02,44,12,4,0,0.052,True
cpsat_rebuild,100,0.02,44,13,4,-1,3.109,True
cpsat_hint,100,0.02,44,13,4,-1,3.116,True
incr_repair,100,0.02,44,13,4,0,0.051,True
cpsat_rebuild,100,0.02,44,14,4,-1,3.018,True
cpsat_hint,100,0.02,44,14,4,-1,3.159,True
incr_repair,100,0.02,44,14,4,1,2.365,True
cpsat_rebuild,100,0.02,44,15,4,-1,4.372,True
cpsat_hint,100,0.02,44,15,4,-1,3.066,True
incr_repair,100,0.02,44,15,4,1,0.684,True
cpsat_rebuild,100,0.02,44,16,4,-1,2.792,True
cpsat_hint,100,0.02,44,16,4,-1,2.916,True
incr_repair,100,0.02,44,16,4,0,0.051,True
cpsat_rebuild,100,0.02,44,17,4,-1,4.296,True
cpsat_hint,100,0.02,44,17,4,-1,3.093,True
incr_repair,100,0.02,44,17,4,0,0.051,True
cpsat_rebuild,100,0.02,44,18,4,-1,2.792,True
cpsat_hint,100,0.02,44,18,4,-1,5.295,True
incr_repair,100,0.02,44,18,4,2,3.137,True
cpsat_rebuild,100,0.02,44,19,4,-1,2.73,True
cpsat_hint,100,0.02,44,19,4,-1,2.762,True
incr_repair,100,0.02,44,19,4,1,1.038,True
cpsat_rebuild,100,0.02,44,20,4,-1,2.778,True
cpsat_hint,100,0.02,44,20,4,-1,7.138,True
incr_repair,100,0.02,44,20,4,0,0.053,True
cpsat_rebuild,100,0.02,44,21,4,-1,2.837,True
cpsat_hint,100,0.02,44,21,4,-1,2.877,True
incr_repair,100,0.02,44,21,4,1,0.817,True
cpsat_rebuild,100,0.02,44,22,4,-1,2.768,True
cpsat_hint,100,0.02,44,22,4,-1,6.702,True
incr_repair,100,0.02,44,22,4,0,0.055,True
cpsat_rebuild,100,0.02,44,23,4,-1,2.781,True
cpsat_hint,100,0.02,44,23,4,-1,2.814,True
incr_repair,100,0.02,44,23,4,1,2.003,True
cpsat_rebuild,100,0.02,44,24,4,-1,6.034,True
