method,n,delta,seed,epoch,changed_rels,violated_rels,total_ms,build_ms,solve_ms,verified
cpsat_rebuild,100,0.02,42,26,4,-1,2.266,0.739,1.523,True
cpsat_hint,100,0.02,42,26,4,-1,2.4,0.946,1.449,True
incr_repair,100,0.02,42,26,4,1,2.506,0.0,0.0,True
cpsat_rebuild,100,0.02,42,27,4,-1,2.884,0.77,2.109,True
cpsat_hint,100,0.02,42,27,4,-1,2.377,0.938,1.434,True
incr_repair,100,0.02,42,27,4,0,0.066,0.0,0.0,True
cpsat_rebuild,100,0.02,42,28,4,-1,2.278,0.766,1.507,True
cpsat_hint,100,0.02,42,28,4,-1,2.37,0.906,1.46,True
incr_repair,100,0.02,42,28,4,0,0.052,0.0,0.0,True
cpsat_rebuild,100,0.02,42,29,4,-1,2.275,0.791,1.479,True
cpsat_hint,100,0.02,42,29,4,-1,2.376,0.918,1.453,True
incr_repair,100,0.02,42,29,4,0,0.052,0.0,0.0,True
cpsat_rebuild,100,0.02,42,30,4,-1,2.422,0.864,1.552,True
cpsat_hint,100,0.02,42,30,4,-1,2.394,0.952,1.437,True
incr_repair,100,0.02,42,30,4,0,0.051,0.0,0.0,True
cpsat_rebuild,100,0.02,43,1,4,-1,7.035,0.908,6.118,True
cpsat_hint,100,0.02,43,1,4,-1,4.003,1.064,2.933,True
incr_repair,100,0.02,43,1,4,2,0.896,0.0,0.0,True
cpsat_rebuild,100,0.02,43,2,4,-1,3.925,0.773,3.147,True
cpsat_hint,100,0.02,43,2,4,-1,7.332,0.964,6.363,True
incr_repair,100,0.02,43,2,4,0,0.051,0.0,0.0,True
cpsat_rebuild,100,0.02,43,3,4,-1,4.268,0.772,3.492,True
cpsat_hint,100,0.02,43,3,4,-1,3.918,1.018,2.894,True
incr_repair,100,0.02,43,3,4,1,0.834,0.0,0.0,True
cpsat_rebuild,100,0.02,43,4,4,-1,7.288,0.813,6.47,True
cpsat_hint,100,0.02,43,4,4,-1,4.226,1.034,3.186,True
incr_repair,100,0.02,43,4,4,0,0.055,0.0,0.0,True
cpsat_rebuild,100,0.02,43,5,4,-1,4.28,0.818,3.457,True
cpsat_hint,100,0.02,43,5,4,-1,6.29,0.967,5.319,True
incr_repair,100,0.02,43,5,4,2,2.348,0.0,0.0,True
cpsat_rebuild,100,0.02,43,6,4,-1,4.243,0.803,3.434,True
cpsat_hint,100,0.02,43,6,4,-1,4.2,0.944,3.251,True
incr_repair,100,0.02,43,6,4,0,0.054,0.0,0.0,True
cpsat_rebuild,100,0.02,43,7,4,-1,5.705,0.808,4.892,True
cpsat_hint,100,0.02,43,7,4,-1,4.116,0.956,3.155,True
incr_repair,100,0.02,43,7,4,0,0.055,0.0,0.0,True
cpsat_rebuild,100,0.02,43,8,4,-1,5.442,0.856,4.581,True
cpsat_hint,100,0.02,43,8,4,-1,7.363,2.653,4.703,True
incr_repair,100,0.02,43,8,4,1,1.477,0.0,0.0,True
cpsat_rebuild,100,0.02,43,9,4,-1,4.33,0.821,3.504,True
cpsat_hint,100,0.02,43,9,4,-1,6.901,1.094,5.802,True
incr_repair,100,0.02,43,9,4,1,2.527,0.0,0.0,True
cpsat_rebuild,100,0.02,43,10,4,-1,4.274,0.802,3.468,True
cpsat_hint,100,0.02,43,10,4,-1,4.033,0.974,3.054,True
incr_repair,100,0.02,43,10,4,1,0.702,0.0,0.0,True
cpsat_rebuild,100,0.02,43,11,4,-1,5.556,0.787,4.764,True
cpsat_hint,100,0.02,43,11,4,-1,3.567,1.053,2.508,True
incr_repair,100,0.02,43,11,4,0,0.053,0.0,0.0,True
cpsat_rebuild,100,0.02,43,12,4,-1,3.243,0.769,2.469,True
cpsat_hint,100,0.02,43,12,4,-1,5.167,1.023,4.138,True
incr_repair,100,0.02,43,12,4,0,0.053,0.0,0.0,True
cpsat_rebuild,100,0.02,43,13,4,-1,4.791,0.809,3.975,True
cpsat_hint,100,0.02,43,13,4,-1,3.485,0.979,2.501,True
incr_repair,100,0.02,43,13,4,0,0.061,0.0,0.0,True
cpsat_rebuild,100,0.02,43,14,4,-1,3.359,0.745,2.609,True
cpsat_hint,100,0.02,43,14,4,-1,5.57,0.98,4.584,True
incr_repair,100,0.02,43,14,4,0,0.054,0.0,0.0,True
cpsat_rebuild,100,0.02,43,15,4,-1,4.889,2.152,2.73,True
cpsat_hint,100,0.02,43,15,4,-1,3.572,0.981,2.585,True
incr_repair,100,0.02,43,15,4,0,0.052,0.0,0.0,True
cpsat_rebuild,100,0.02,43,16,4,-1,3.425,0.756,2.664,True
cpsat_hint,100,0.02,43,16,4,-1,6.626,3.031,3.588,True
incr_repair,100,0.02,43,16,4,0,0.062,0.0,0.0,True
cpsat_rebuild,100,0.02,43,17,4,-1,3.405,0.775,2.625,True
cpsat_hint,100,0.02,43,17,4,-1,3.492,0.97,2.516,True
incr_repair,100,0.02,43,17,4,0,0.052,0.0,0.0,True
cpsat_rebuild,100,0.02,43,18,4,-1,5.295,0.766,4.524,True
cpsat_hint,100,0.02,43,18,4,-1,4.551,1.999,2.545,True
incr_repair,100,0.02,43,18,4,0,0.052,0.0,0.0,True
cpsat_rebuild,100,0.02,43,19,4,-1,3.475,0.764,2.706,True
cpsat_hint,100,0.02,43,19,4,-1,3.607,0.96,2.642,True
incr_repair,100,0.02,43,19,4,0,0.052,0.0,0.0,True
cpsat_rebuild,100,0.02,43,20,4,-1,5.704,0.764,4.934,True
cpsat_hint,100,0.02,43,20,4,-1,3.71,1.104,2.597,True
incr_repair,100,0.02,43,20,4,1,0.845,0.0,0.0,True
cpsat_rebuild,100,0.02,43,21,4,-1,3.384,0.773,2.607,True
cpsat_hint,100,0.02,43,21,4,-1,3.587,0.929,2.653,True
incr_repair,100,0.02,43,21,4,1,0.845,0.0,0.0,True
cpsat_rebuild,100,0.02,43,22,4,-1,3.827,1.065,2.755,True
cpsat_hint,100,0.02,43,22,4,-1,3.388,1.018,2.364,True
incr_repair,100,0.02,43,22,4,0,0.051,0.0,0.0,True
cpsat_rebuild,100,0.02,43,23,4,-1,3.288,0.751,2.533,True
cpsat_hint,100,0.02,43,23,4,-1,3.413,1.001,2.407,True
incr_repair,100,0.02,43,23,4,0,0.051,0.0,0.0,True
cpsat_rebuild,100,0.02,43,24,4,-1,5.363,0.761,4.596,True
cpsat_hint,100,0.02,43,24,4,-1,3.354,1.028,2.318,True
incr_repair,100,0.02,43,24,4,1,0.827,0.0,0.0,True
cpsat_rebuild,100,0.02,43,25,4,-1,3.024,0.796,2.223,True
cpsat_hint,100,0.02,43,25,4,-1,3.07,0.931,2.133,True
incr_repair,100,0.02,43,25,4,0,0.051,0.0,0.0,True
cpsat_rebuild,100,0.02,43,26,4,-1,5.824,2.796,3.021,True
cpsat_hint,100,0.02,43,26,4,-1,3.23,1.003,2.222,True
incr_repair,100,0.02,43,26,4,1,0.766,0.0,0.0,True
cpsat_rebuild,100,0.02,43,27,4,-1,2.6,0.78,1.815,True
cpsat_hint,100,0.02,43,27,4,-1,2.7,0.995,1.7,True
incr_repair,100,0.02,43,27,4,2,0.925,0.0,0.0,True
cpsat_rebuild,100,0.02,43,28,4,-1,2.093,0.737,1.352,True
cpsat_hint,100,0.02,43,28,4,-1,2.292,0.933,1.353,True
incr_repair,100,0.02,43,28,4,2,0.871,0.0,0.0,True
cpsat_rebuild,100,0.02,43,29,4,-1,2.006,0.773,1.228,True
cpsat_hint,100,0.02,43,29,4,-1,2.181,0.92,1.255,True
incr_repair,100,0.02,43,29,4,0,0.051,0.0,0.0,True
cpsat_rebuild,100,0.02,43,30,4,-1,2.048,0.75,1.293,True
cpsat_hint,100,0.02,43,30,4,-1,2.263,0.947,1.312,True
incr_repair,100,0.02,43,30,4,0,0.051,0.0,0.0,True
cpsat_rebuild,100,0.02,44,1,4,-1,4.116,0.83,3.28,True
cpsat_hint,100,0.02,44,1,4,-1,6.542,2.442,4.093,True
incr_repair,100,0.02,44,1,4,1,2.198,0.0,0.0,True
cpsat_rebuild,100,0.02,44,2,4,-1,3.218,0.836,2.376,True
cpsat_hint,100,0.02,44,2,4,-1,5.378,1.034,4.338,True
incr_repair,100,0.02,44,2,4,2,5.911,0.0,0.0,True
cpsat_rebuild,100,0.02,44,3,4,-1,3.229,0.831,2.391,True
cpsat_hint,100,0.02,44,3,4,-1,3.208,0.982,2.221,True
incr_repair,100,0.02,44,3,4,0,0.051,0.0,0.0,True
cpsat_rebuild,100,0.02,44,4,4,-1,4.395,1.087,3.3,True
cpsat_hint,100,0.02,44,4,4,-1,3.575,0.988,2.581,True
incr_repair,100,0.02,44,4,4,0,0.052,0.0,0.0,True
cpsat_rebuild,100,0.02,44,5,4,-1,3.536,0.852,2.678,True
cpsat_hint,100,0.02,44,5,4,-1,3.588,0.97,2.612,True
incr_repair,100,0.02,44,5,4,0,0.053,0.0,0.0,True
cpsat_rebuild,100,0.02,44,6,4,-1,3.795,0.93,2.859,True
cpsat_hint,100,0.02,44,6,4,-1,3.686,1.007,2.673,True
incr_repair,100,0.02,44,6,4,0,0.051,0.0,0.0,True
