method,n,delta,seed,epoch,changed_rels,violated_rels,total_ms,verified
cpsat_rebuild,1000,0.1,43,2,200,-1,26.666,True
cpsat_hint,1000,0.1,43,2,200,-1,28.14,True
incr_repair,1000,0.1,43,2,200,26,77.068,True
cpsat_rebuild,1000,0.1,43,3,200,-1,26.077,True
cpsat_hint,1000,0.1,43,3,200,-1,27.754,True
incr_repair,1000,0.1,43,3,200,15,15.427,True
cpsat_rebuild,1000,0.1,43,4,200,-1,24.519,True
cpsat_hint,1000,0.1,43,4,200,-1,26.315,True
incr_repair,1000,0.1,43,4,200,16,42.091,True
cpsat_rebuild,1000,0.1,43,5,200,-1,22.198,True
cpsat_hint,1000,0.1,43,5,200,-1,23.76,True
incr_repair,1000,0.1,43,5,200,18,10.46,True
cpsat_rebuild,1000,0.1,43,6,200,-1,22.204,True
cpsat_hint,1000,0.1,43,6,200,-1,23.382,True
incr_repair,1000,0.1,43,6,200,14,7.596,True
cpsat_rebuild,1000,0.1,43,7,200,-1,21.364,True
cpsat_hint,1000,0.1,43,7,200,-1,23.277,True
incr_repair,1000,0.1,43,7,200,9,4.803,True
cpsat_rebuild,1000,0.1,43,8,200,-1,21.755,True
cpsat_hint,1000,0.1,43,8,200,-1,23.438,True
incr_repair,1000,0.1,43,8,200,6,4.33,True
cpsat_rebuild,1000,0.1,43,9,200,-1,20.641,True
cpsat_hint,1000,0.1,43,9,200,-1,22.548,True
incr_repair,1000,0.1,43,9,200,11,7.69,True
cpsat_rebuild,1000,0.1,43,10,200,-1,20.243,True
cpsat_hint,1000,0.1,43,10,200,-1,21.77,True
incr_repair,1000,0.1,43,10,200,11,6.808,True
cpsat_rebuild,1000,0.1,43,11,200,-1,19.828,True
cpsat_hint,1000,0.1,43,11,200,-1,21.928,True
incr_repair,1000,0.1,43,11,200,6,4.523,True
cpsat_rebuild,1000,0.1,43,12,200,-1,18.802,True
cpsat_hint,1000,0.1,43,12,200,-1,20.753,True
incr_repair,1000,0.1,43,12,200,9,7.351,True
cpsat_rebuild,1000,0.1,43,13,200,-1,18.52,True
cpsat_hint,1000,0.1,43,13,200,-1,20.956,True
incr_repair,1000,0.1,43,13,200,1,3.446,True
cpsat_rebuild,1000,0.1,43,14,200,-1,18.05,True
cpsat_hint,1000,0.1,43,14,200,-1,20.038,True
incr_repair,1000,0.1,43,14,200,5,4.239,True
cpsat_rebuild,1000,0.1,43,15,200,-1,17.78,True
cpsat_hint,1000,0.1,43,15,200,-1,19.587,True
incr_repair,1000,0.1,43,15,200,7,5.228,True
cpsat_rebuild,1000,0.1,43,16,200,-1,18.019,True
cpsat_hint,1000,0.1,43,16,200,-1,20.284,True
incr_repair,1000,0.1,43,16,200,2,3.687,True
cpsat_rebuild,1000,0.1,43,17,200,-1,17.596,True
cpsat_hint,1000,0.1,43,17,200,-1,19.446,True
incr_repair,1000,0.1,43,17,200,3,3.764,True
cpsat_rebuild,1000,0.1,43,18,200,-1,16.97,True
cpsat_hint,1000,0.1,43,18,200,-1,18.848,True
incr_repair,1000,0.1,43,18,200,4,3.922,True
cpsat_rebuild,1000,0.1,43,19,200,-1,16.733,True
cpsat_hint,1000,0.1,43,19,200,-1,20.123,True
incr_repair,1000,0.1,43,19,200,3,4.416,True
cpsat_rebuild,1000,0.1,43,20,200,-1,16.789,True
cpsat_hint,1000,0.1,43,20,200,-1,19.072,True
incr_repair,1000,0.1,43,20,200,2,3.265,True
cpsat_rebuild,1000,0.1,43,21,200,-1,16.922,True
cpsat_hint,1000,0.1,43,21,200,-1,18.859,True
incr_repair,1000,0.1,43,21,200,1,3.503,True
cpsat_rebuild,1000,0.1,43,22,200,-1,15.373,True
cpsat_hint,1000,0.1,43,22,200,-1,17.237,True
incr_repair,1000,0.1,43,22,200,4,3.627,True
cpsat_rebuild,1000,0.1,43,23,200,-1,15.546,True
cpsat_hint,1000,0.1,43,23,200,-1,18.465,True
incr_repair,1000,0.1,43,23,200,2,3.671,True
cpsat_rebuild,1000,0.1,43,24,200,-1,19.813,True
cpsat_hint,1000,0.1,43,24,200,-1,19.309,True
incr_repair,1000,0.1,43,24,200,0,0.682,True
cpsat_rebuild,1000,0.1,43,25,200,-1,16.982,True
cpsat_hint,1000,0.1,43,25,200,-1,19.395,True
incr_repair,1000,0.1,43,25,200,2,3.372,True
cpsat_rebuild,1000,0.1,43,26,200,-1,16.445,True
cpsat_hint,1000,0.1,43,26,200,-1,18.856,True
incr_repair,1000,0.1,43,26,200,0,0.739,True
cpsat_rebuild,1000,0.1,43,27,200,-1,14.471,True
