scenario,seed,outcome,executed_verified,total_ms
S4,77,blocked,False,0.179
S4,78,blocked,False,0.159
S4,79,blocked,False,0.143
S4,80,blocked,False,0.161
S4,81,blocked,False,0.163
S4,82,blocked,False,0.19
S4,83,blocked,False,0.174
S4,84,blocked,False,0.142
S4,85,blocked,False,0.157
S4,86,blocked,False,0.145
S4,87,blocked,False,0.193
S4,88,blocked,False,0.142
S4,89,blocked,False,0.183
S4,90,blocked,False,0.2
S4,91,blocked,False,0.214
S5,42,blocked,False,0.224
S5,43,blocked,False,0.221
S5,44,blocked,False,0.211
S5,45,blocked,False,0.225
S5,46,blocked,False,0.183
S5,47,blocked,False,0.279
S5,48,blocked,False,0.196
S5,49,blocked,False,0.264
S5,50,blocked,False,0.296
S5,51,blocked,False,0.258
S5,52,blocked,False,0.274
S5,53,blocked,False,0.274
S5,54,blocked,False,0.232
S5,55,blocked,False,0.223
S5,56,blocked,False,0.214
S5,57,blocked,False,0.217
S5,58,blocked,False,0.233
S5,59,blocked,False,0.278
S5,60,blocked,False,0.224
S5,61,blocked,False,0.225
S5,62,blocked,False,0.234
S5,63,blocked,False,0.217
S5,64,blocked,False,0.28
S5,65,blocked,False,0.259
S5,66,blocked,False,0.281
S5,67,blocked,False,0.22
S5,68,blocked,False,0.208
S5,69,blocked,False,0.233
S5,70,blocked,False,0.217
S5,71,blocked,False,0.197
S5,72,blocked,False,0.244
S5,73,blocked,False,0.22
S5,74,blocked,False,0.216
S5,75,blocked,False,0.201
S5,76,blocked,False,0.225
S5,77,blocked,False,0.226
S5,78,blocked,False,0.213
S5,79,blocked,False,0.247
S5,80,blocked,False,0.188
S5,81,blocked,False,0.207
S5,82,blocked,False,0.27
S5,83,blocked,False,0.246
S5,84,blocked,False,0.199
S5,85,blocked,False,0.225
S5,86,blocked,False,0.214
S5,87,blocked,False,0.245
S5,88,blocked,False,0.255
S5,89,blocked,False,0.233
S5,90,blocked,False,0.241
S5,91,blocked,False,0.227
