method,scenario,seed,num_variables,outcome,executed_verified,optimized_verified,repaired_verified,fallback_used,fallback_verified,raw_verified,wipeout,operational_stall,invalid_decode,continuous_iterations,total_time_ns,propagation_time_ns,continuous_time_ns,repair_time_ns,repair_attempted,repair_initial_core,repair_final_core,repair_expansions,repair_used_explanation,repair_used_assumption_core,repair_used_frontier,repair_boundary_released,repair_full_scope,repair_status,cert_overhead_ns,cert_size_bytes,values_before,values_after,tuples_before,tuples_after,cf_throughput,cf_energy,cf_hof,cf_fairness,ex_throughput,ex_energy,ex_hof,ex_fairness
Continuous only,S2,62,18,direct,True,True,False,False,False,True,False,False,False,66,141341300,0,141239900,0,False,0,0,0,False,False,False,0,False,none,22700,286,72,72,128,128,8.474759996475598,5.663877209497588e-05,0.028000000020000002,0.38334069334781506,8.474759996475598,5.663877209497588e-05,0.028000000020000002,0.38334069334781506
GAC + decode,S2,62,18,direct,True,True,False,False,False,True,False,False,False,30,10735900,129700,10522200,0,False,0,0,0,False,False,False,0,False,none,17100,281,72,42,128,34,8.474759996475598,5.663877209497588e-05,0.028000000020000002,0.38334069334781506,8.474759996475598,5.663877209497588e-05,0.028000000020000002,0.38334069334781506
CP-SAT,S2,62,18,full_repair,True,False,True,False,False,False,False,False,False,0,1849900,0,0,1766200,True,18,18,0,False,False,False,0,True,optimal,19300,277,72,72,128,128,8.792233951068892,5.459363373078184e-05,0.03200000002,0.379298639015571,8.792233951068892,5.459363373078184e-05,0.03200000002,0.379298639015571
GAC + CP-SAT,S2,62,18,full_repair,True,False,True,False,False,False,False,False,False,0,1455200,137000,0,1243500,True,18,18,0,False,False,False,0,True,optimal,17100,283,72,42,128,34,8.792233951068892,5.459363373078184e-05,0.03200000002,0.379298639015571,8.792233951068892,5.459363373078184e-05,0.03200000002,0.379298639015571
GAC + expl repair,S2,62,18,local_repair,True,False,True,False,False,False,False,False,False,0,884700,128300,0,686700,True,5,5,0,False,False,False,0,False,optimal,16000,288,72,42,128,34,8.102701376252703,5.923950269311147e-05,0.03200000002,0.36369397456075697,8.102701376252703,5.923950269311147e-05,0.03200000002,0.36369397456075697
ConsistXApp expl,S2,62,18,direct,True,True,False,False,False,True,False,False,False,30,11152300,123900,10935300,0,False,0,0,0,False,False,False,0,False,none,20200,286,72,42,128,34,8.474759996475598,5.663877209497588e-05,0.028000000020000002,0.38334069334781506,8.474759996475598,5.663877209497588e-05,0.028000000020000002,0.38334069334781506
ConsistXApp radius,S2,62,18,direct,True,True,False,False,False,True,False,False,False,30,11066300,124300,10842600,0,False,0,0,0,False,False,False,0,False,none,22600,289,72,42,128,34,8.474759996475598,5.663877209497588e-05,0.028000000020000002,0.38334069334781506,8.474759996475598,5.663877209497588e-05,0.028000000020000002,0.38334069334781506
ConsistXApp assume,S2,62,18,direct,True,True,False,False,False,True,False,False,False,30,10743300,126100,10539500,0,False,0,0,0,False,False,False,0,False,none,15100,289,72,42,128,34,8.474759996475598,5.663877209497588e-05,0.028000000020000002,0.38334069334781506,8.474759996475598,5.663877209497588e-05,0.028000000020000002,0.38334069334781506
FC + expl repair,S2,62,18,direct,True,True,False,False,False,True,False,False,False,0,309700,0,0,0,False,0,0,0,False,False,False,0,False,none,17300,286,72,0,128,0,10.101106165171755,4.9103533008116465e-05,0.028000000020000002,0.43168210144893643,10.101106165171755,4.9103533008116465e-05,0.028000000020000002,0.43168210144893643
Uncoordinated,S2,63,18,blocked,False,False,False,True,False,False,False,False,False,0,35600,0,0,0,False,0,0,0,False,False,False,0,False,none,0,0,72,0,135,0,6.612471861768751,8.468845111277454e-05,0.036000000020000006,0.33465908085437623,,,,
Static priority,S2,63,18,blocked,False,False,False,True,False,False,False,False,False,0,27100,0,0,0,False,0,0,0,False,False,False,0,False,none,0,0,72,0,135,0,3.7227818580883576,0.00012893583838578156,0.04400000002,0.15476338013968222,,,,
Continuous only,S2,63,18,direct,True,True,False,False,False,True,False,False,False,82,178978000,0,178872200,0,False,0,0,0,False,False,False,0,False,none,23600,286,72,72,135,135,6.897891302747448,8.23440055910658e-05,0.04000000002,0.35228819795890826,6.897891302747448,8.23440055910658e-05,0.04000000002,0.35228819795890826
GAC + decode,S2,63,18,direct,True,True,False,False,False,True,False,False,False,100,127821300,114100,127598700,0,False,0,0,0,False,False,False,0,False,none,22100,283,72,60,135,96,6.897891302747448,8.23440055910658e-05,0.04000000002,0.35228819795890826,6.897891302747448,8.23440055910658e-05,0.04000000002,0.35228819795890826
CP-SAT,S2,63,18,full_repair,True,False,True,False,False,False,False,False,False,0,2839800,0,0,2762900,True,18,18,0,False,False,False,0,True,optimal,20800,276,72,72,135,135,7.22442171864256,7.530014459097987e-05,0.04000000002,0.35737924250063563,7.22442171864256,7.530014459097987e-05,0.04000000002,0.35737924250063563
GAC + CP-SAT,S2,63,18,full_repair,True,False,True,False,False,False,False,False,False,0,2330700,114200,0,2143900,True,18,18,0,False,False,False,0,True,optimal,16900,283,72,60,135,96,7.22442171864256,7.530014459097987e-05,0.04000000002,0.35737924250063563,7.22442171864256,7.530014459097987e-05,0.04000000002,0.35737924250063563
GAC + expl repair,S2,63,18,local_repair,True,False,True,False,False,False,False,False,False,0,2359300,116000,0,2165500,True,13,13,0,False,False,False,0,False,optimal,18500,288,72,60,135,96,7.22442171864256,7.530014459097987e-05,0.04000000002,0.35737924250063563,7.22442171864256,7.530014459097987e-05,0.04000000002,0.35737924250063563
ConsistXApp expl,S2,63,18,direct,True,True,False,False,False,True,False,False,False,100,128973000,107500,128759400,0,False,0,0,0,False,False,False,0,False,none,21900,287,72,60,135,96,6.897891302747448,8.23440055910658e-05,0.04000000002,0.35228819795890826,6.897891302747448,8.23440055910658e-05,0.04000000002,0.35228819795890826
ConsistXApp radius,S2,63,18,direct,True,True,False,False,False,True,False,False,False,100,127961800,114100,127740600,0,False,0,0,0,False,False,False,0,False,none,22300,289,72,60,135,96,6.897891302747448,8.23440055910658e-05,0.04000000002,0.35228819795890826,6.897891302747448,8.23440055910658e-05,0.04000000002,0.35228819795890826
ConsistXApp assume,S2,63,18,direct,True,True,False,False,False,True,False,False,False,100,127839600,116800,127610400,0,False,0,0,0,False,False,False,0,False,none,23100,287,72,60,135,96,6.897891302747448,8.23440055910658e-05,0.04000000002,0.35228819795890826,6.897891302747448,8.23440055910658e-05,0.04000000002,0.35228819795890826
FC + expl repair,S2,63,18,direct,True,True,False,False,False,True,False,False,False,0,1605000,0,0,0,False,0,0,0,False,False,False,0,False,none,18000,287,72,0,135,0,7.339223813688652,7.08521790860403e-05,0.04000000002,0.35291193586845115,7.339223813688652,7.08521790860403e-05,0.04000000002,0.35291193586845115
Uncoordinated,S2,64,18,blocked,False,False,False,True,False,False,False,False,False,0,35700,0,0,0,False,0,0,0,False,False,False,0,False,none,0,0,72,0,126,0,8.69252961949335,5.9821481520624204e-05,0.04000000002,0.35666500581468513,,,,
Static priority,S2,64,18,blocked,False,False,False,True,False,False,False,False,False,0,24900,0,0,0,False,0,0,0,False,False,False,0,False,none,0,0,72,0,126,0,6.553816188708468,7.323977148260418e-05,0.04400000002,0.25157463507881445,,,,
Continuous only,S2,64,18,direct,True,True,False,False,False,True,False,False,False,100,208876400,0,208767700,0,False,0,0,0,False,False,False,0,False,none,24000,285,72,72,126,126,9.313059949505124,5.49765600968999e-05,0.036000000020000006,0.35926899056609274,9.313059949505124,5.49765600968999e-05,0.036000000020000006,0.35926899056609274
GAC + decode,S2,64,18,direct,True,True,False,False,False,True,False,False,False,100,85093200,121400,84860500,0,False,0,0,0,False,False,False,0,False,none,23000,283,72,51,126,66,10.069617876376556,5.084602080096387e-05,0.036000000020000006,0.3789218641557238,10.069617876376556,5.084602080096387e-05,0.036000000020000006,0.3789218641557238
CP-SAT,S2,64,18,full_repair,True,False,True,False,False,False,False,False,False,0,1811900,0,0,1741100,True,18,18,0,False,False,False,0,True,optimal,16600,277,72,72,126,126,8.466571310300022,6.236290709057877e-05,0.04000000002,0.30992318601690894,8.466571310300022,6.236290709057877e-05,0.04000000002,0.30992318601690894
GAC + CP-SAT,S2,64,18,full_repair,True,False,True,False,False,False,False,False,False,0,1718500,124700,0,1527300,True,18,18,0,False,False,False,0,True,optimal,15400,283,72,51,126,66,8.466571310300022,6.236290709057877e-05,0.04000000002,0.30992318601690894,8.466571310300022,6.236290709057877e-05,0.04000000002,0.30992318601690894
GAC + expl repair,S2,64,18,local_repair,True,False,True,False,False,False,False,False,False,0,1219500,127600,0,1025000,True,5,5,0,False,False,False,0,False,optimal,15600,288,72,51,126,66,8.391080846533457,6.101716922576412e-05,0.04400000002,0.30142370143597663,8.391080846533457,6.101716922576412e-05,0.04400000002,0.30142370143597663
ConsistXApp expl,S2,64,18,direct,True,True,False,False,False,True,False,False,False,100,83590800,117900,83365200,0,False,0,0,0,False,False,False,0,False,none,20900,286,72,51,126,66,10.069617876376556,5.084602080096387e-05,0.036000000020000006,0.3789218641557238,10.069617876376556,5.084602080096387e-05,0.036000000020000006,0.3789218641557238
ConsistXApp radius,S2,64,18,direct,True,True,False,False,False,True,False,False,False,100,84031400,118300,83802400,0,False,0,0,0,False,False,False,0,False,none,24000,289,72,51,126,66,10.069617876376556,5.084602080096387e-05,0.036000000020000006,0.3789218641557238,10.069617876376556,5.084602080096387e-05,0.036000000020000006,0.3789218641557238
ConsistXApp assume,S2,64,18,direct,True,True,False,False,False,True,False,False,False,100,86015600,123800,85783100,0,False,0,0,0,False,False,False,0,False,none,22900,289,72,51,126,66,10.069617876376556,5.084602080096387e-05,0.036000000020000006,0.3789218641557238,10.069617876376556,5.084602080096387e-05,0.036000000020000006,0.3789218641557238
FC + expl repair,S2,64,18,direct,True,True,False,False,False,True,False,False,False,0,427500,0,0,0,False,0,0,0,False,False,False,0,False,none,13900,287,72,0,126,0,9.11312452764903,5.4426996854388014e-05,0.04000000002,0.3441741403619712,9.11312452764903,5.4426996854388014e-05,0.04000000002,0.3441741403619712
Uncoordinated,S2,65,18,blocked,False,False,False,True,False,False,False,False,False,0,34800,0,0,0,False,0,0,0,False,False,False,0,False,none,0,0,72,0,131,0,10.840647064193785,5.16574330557866e-05,0.04000000002,0.5290304750048802,,,,
Static priority,S2,65,18,blocked,False,False,False,True,False,False,False,False,False,0,22600,0,0,0,False,0,0,0,False,False,False,0,False,none,0,0,72,0,131,0,7.456078698306514,6.437700290221206e-05,0.04400000002,0.42437190119415313,,,,
Continuous only,S2,65,18,direct,True,True,False,False,False,True,False,False,False,100,210225200,0,210109200,0,False,0,0,0,False,False,False,0,False,none,23100,286,72,72,131,131,11.194578821696956,5.002421340896067e-05,0.036000000020000006,0.5121779108226575,11.194578821696956,5.002421340896067e-05,0.036000000020000006,0.5121779108226575
GAC + decode,S2,65,18,direct,True,True,False,False,False,True,False,False,False,100,97001900,119900,96774000,0,False,0,0,0,False,False,False,0,False,none,22900,283,72,53,131,74,10.915851375094306,5.1301541286802465e-05,0.04000000002,0.4987076785365329,10.915851375094306,5.1301541286802465e-05,0.04000000002,0.4987076785365329
CP-SAT,S2,65,18,full_repair,True,False,True,False,False,False,False,False,False,0,2389300,0,0,2311600,True,18,18,0,False,False,False,0,True,optimal,19400,277,72,72,131,131,10.620417233111237,5.0468826999462386e-05,0.04000000002,0.5134140684129701,10.620417233111237,5.0468826999462386e-05,0.04000000002,0.5134140684129701
GAC + CP-SAT,S2,65,18,full_repair,True,False,True,False,False,False,False,False,False,0,2506400,123000,0,2317000,True,18,18,0,False,False,False,0,True,optimal,16200,283,72,53,131,74,10.620417233111237,5.0468826999462386e-05,0.04000000002,0.5134140684129701,10.620417233111237,5.0468826999462386e-05,0.04000000002,0.5134140684129701
GAC + expl repair,S2,65,18,local_repair,True,False,True,False,False,False,False,False,False,0,1737300,144700,0,1519400,True,9,9,0,False,False,False,0,False,optimal,16300,288,72,53,131,74,10.394121712277302,5.002827698138148e-05,0.04000000002,0.5106750389906279,10.394121712277302,5.002827698138148e-05,0.04000000002,0.5106750389906279
ConsistXApp expl,S2,65,18,direct,True,True,False,False,False,True,False,False,False,100,98781600,120800,98555500,0,False,0,0,0,False,False,False,0,False,none,22600,287,72,53,131,74,10.915851375094306,5.1301541286802465e-05,0.04000000002,0.4987076785365329,10.915851375094306,5.1301541286802465e-05,0.04000000002,0.4987076785365329
ConsistXApp radius,S2,65,18,direct,True,True,False,False,False,True,False,False,False,100,99174400,124100,98938200,0,False,0,0,0,False,False,False,0,False,none,23100,289,72,53,131,74,10.915851375094306,5.1301541286802465e-05,0.04000000002,0.4987076785365329,10.915851375094306,5.1301541286802465e-05,0.04000000002,0.4987076785365329
ConsistXApp assume,S2,65,18,direct,True,True,False,False,False,True,False,False,False,100,98430200,123000,98201100,0,False,0,0,0,False,False,False,0,False,none,22400,289,72,53,131,74,10.915851375094306,5.1301541286802465e-05,0.04000000002,0.4987076785365329,10.915851375094306,5.1301541286802465e-05,0.04000000002,0.4987076785365329
FC + expl repair,S2,65,18,local_repair,True,False,True,False,False,False,False,False,False,0,52083000,135400,0,1711700,True,9,9,0,False,False,False,0,False,optimal,21500,287,72,53,131,74,10.394121712277302,5.002827698138148e-05,0.04000000002,0.5106750389906279,10.394121712277302,5.002827698138148e-05,0.04000000002,0.5106750389906279
Uncoordinated,S2,66,18,blocked,False,False,False,True,False,False,False,False,False,0,35900,0,0,0,False,0,0,0,False,False,False,0,False,none,0,0,72,0,111,0,7.236280264202481,7.075458402749249e-05,0.036000000020000006,0.3433605265049447,,,,
Static priority,S2,66,18,blocked,False,False,False,True,False,False,False,False,False,0,23300,0,0,0,False,0,0,0,False,False,False,0,False,none,0,0,72,0,111,0,6.600877145486325,7.271760849665618e-05,0.04400000002,0.353431797230021,,,,
Continuous only,S2,66,18,direct,True,True,False,False,False,True,False,False,False,44,81171800,0,81071200,0,False,0,0,0,False,False,False,0,False,none,21600,286,72,72,111,111,9.655540625473437,5.8826328015387485e-05,0.04000000002,0.42614876175072525,9.655540625473437,5.8826328015387485e-05,0.04000000002,0.42614876175072525
GAC + decode,S2,66,18,direct,True,True,False,False,False,True,False,False,False,24,16580300,118700,16366200,0,False,0,0,0,False,False,False,0,False,none,19100,283,72,48,111,60,9.59640313800187,6.0022488813442315e-05,0.04000000002,0.4356891877780625,9.59640313800187,6.0022488813442315e-05,0.04000000002,0.4356891877780625
CP-SAT,S2,66,18,full_repair,True,False,True,False,False,False,False,False,False,0,1760400,0,0,1681700,True,18,18,0,False,False,False,0,True,optimal,18400,275,72,72,111,111,9.838503424705038,5.854548960705054e-05,0.04000000002,0.43552682720174674,9.838503424705038,5.854548960705054e-05,0.04000000002,0.43552682720174674
GAC + CP-SAT,S2,66,18,full_repair,True,False,True,False,False,False,False,False,False,0,1531600,117800,0,1344100,True,18,18,0,False,False,False,0,True,optimal,15900,283,72,48,111,60,9.838503424705038,5.854548960705054e-05,0.04000000002,0.43552682720174674,9.838503424705038,5.854548960705054e-05,0.04000000002,0.43552682720174674
GAC + expl repair,S2,66,18,local_repair,True,False,True,False,False,False,False,False,False,0,1188200,110700,0,1009100,True,11,11,0,False,False,False,0,False,optimal,16700,288,72,48,111,60,9.290817489174087,5.424711018026934e-05,0.04000000002,0.3820921917105435,9.290817489174087,5.424711018026934e-05,0.04000000002,0.3820921917105435
ConsistXApp expl,S2,66,18,direct,True,True,False,False,False,True,False,False,False,24,17201100,113700,16995200,0,False,0,0,0,False,False,False,0,False,none,19100,287,72,48,111,60,9.59640313800187,6.0022488813442315e-05,0.04000000002,0.4356891877780625,9.59640313800187,6.0022488813442315e-05,0.04000000002,0.4356891877780625
ConsistXApp radius,S2,66,18,direct,True,True,False,False,False,True,False,False,False,24,16801400,113100,16599400,0,False,0,0,0,False,False,False,0,False,none,17700,289,72,48,111,60,9.59640313800187,6.0022488813442315e-05,0.04000000002,0.4356891877780625,9.59640313800187,6.0022488813442315e-05,0.04000000002,0.4356891877780625
ConsistXApp assume,S2,66,18,direct,True,True,False,False,False,True,False,False,False,24,16466800,116900,16243500,0,False,0,0,0,False,False,False,0,False,none,19400,287,72,48,111,60,9.59640313800187,6.0022488813442315e-05,0.04000000002,0.4356891877780625,9.59640313800187,6.0022488813442315e-05,0.04000000002,0.4356891877780625
FC + expl repair,S2,66,18,direct,True,True,False,False,False,True,False,False,False,0,304700,0,0,0,False,0,0,0,False,False,False,0,False,none,14600,283,72,0,111,0,9.290817489174087,5.424711018026934e-05,0.04000000002,0.3820921917105435,9.290817489174087,5.424711018026934e-05,0.04000000002,0.3820921917105435
Uncoordinated,S2,67,18,blocked,False,False,False,True,False,False,False,False,False,0,34500,0,0,0,False,0,0,0,False,False,False,0,False,none,0,0,72,0,114,0,14.728407064943221,3.639225869006536e-05,0.036000000020000006,0.41966982242955275,,,,
Static priority,S2,67,18,blocked,False,False,False,True,False,False,False,False,False,0,22800,0,0,0,False,0,0,0,False,False,False,0,False,none,0,0,72,0,114,0,9.540474614852458,5.031196238945426e-05,0.04400000002,0.26587880734712044,,,,
Continuous only,S2,67,18,blocked,False,False,False,True,False,False,False,True,False,51,96569600,0,96515400,0,False,0,0,0,False,False,False,0,False,none,0,0,72,72,114,114,11.475998079109193,4.670617721483675e-05,0.04000000002,0.3172157625810441,,,,
GAC + decode,S2,67,18,blocked,False,False,False,True,False,False,False,True,False,31,21770300,139300,21568600,0,False,0,0,0,False,False,False,0,False,none,0,0,72,48,114,54,11.255314285826296,4.477884732500825e-05,0.04000000002,0.321974500259019,,,,
CP-SAT,S2,67,18,full_repair,True,False,True,False,False,False,False,False,False,0,2262400,0,0,2184600,True,18,18,0,False,False,False,0,True,optimal,19700,276,72,72,114,114,10.94793310245393,4.822828154491108e-05,0.04000000002,0.3122706940249741,10.94793310245393,4.822828154491108e-05,0.04000000002,0.3122706940249741
GAC + CP-SAT,S2,67,18,full_repair,True,False,True,False,False,False,False,False,False,0,2363300,142200,0,2153300,True,18,18,0,False,False,False,0,True,optimal,16900,283,72,48,114,54,10.94793310245393,4.822828154491108e-05,0.04000000002,0.3122706940249741,10.94793310245393,4.822828154491108e-05,0.04000000002,0.3122706940249741
GAC + expl repair,S2,67,18,local_repair,True,False,True,False,False,False,False,False,False,0,1404700,131500,0,1201200,True,6,7,1,True,False,False,1,False,optimal,16100,288,72,48,114,54,10.469403637356173,5.043267203071896e-05,0.04400000002,0.2913811493230018,10.469403637356173,5.043267203071896e-05,0.04400000002,0.2913811493230018
ConsistXApp expl,S2,67,18,local_repair,True,False,True,False,False,False,False,True,False,31,22189600,131500,21124900,831600,True,2,2,0,False,False,False,0,False,optimal,19700,286,72,48,114,54,10.94793310245393,4.822828154491108e-05,0.04000000002,0.3122706940249741,10.94793310245393,4.822828154491108e-05,0.04000000002,0.3122706940249741
ConsistXApp radius,S2,67,18,local_repair,True,False,True,False,False,False,False,True,False,31,22470800,129600,21263400,974400,True,2,2,0,False,False,False,0,False,optimal,19900,289,72,48,114,54,10.94793310245393,4.822828154491108e-05,0.04000000002,0.3122706940249741,10.94793310245393,4.822828154491108e-05,0.04000000002,0.3122706940249741
ConsistXApp assume,S2,67,18,local_repair,True,False,True,False,False,False,False,True,False,31,22284900,135800,21259800,785800,True,2,2,0,False,False,False,0,False,optimal,18600,288,72,48,114,54,10.94793310245393,4.822828154491108e-05,0.04000000002,0.3122706940249741,10.94793310245393,4.822828154491108e-05,0.04000000002,0.3122706940249741
FC + expl repair,S2,67,18,direct,True,True,False,False,False,True,False,False,False,0,148600,0,0,0,False,0,0,0,False,False,False,0,False,none,13300,287,72,0,114,0,10.582949822351615,4.686784009430225e-05,0.04000000002,0.3078092830686725,10.582949822351615,4.686784009430225e-05,0.04000000002,0.3078092830686725
Uncoordinated,S2,68,18,blocked,False,False,False,True,False,False,False,False,False,0,31900,0,0,0,False,0,0,0,False,False,False,0,False,none,0,0,72,0,128,0,12.78398934644342,4.192744420184598e-05,0.03200000002,0.4856911270883444,,,,
Static priority,S2,68,18,blocked,False,False,False,True,False,False,False,False,False,0,21800,0,0,0,False,0,0,0,False,False,False,0,False,none,0,0,72,0,128,0,7.696017509619224,6.236992046861248e-05,0.04400000002,0.38067437611409755,,,,
Continuous only,S2,68,18,direct,True,True,False,False,False,True,False,False,False,28,58776200,0,58671500,0,False,0,0,0,False,False,False,0,False,none,22000,286,72,72,128,128,10.065280054804262,5.722642558018733e-05,0.04000000002,0.3244498072842159,10.065280054804262,5.722642558018733e-05,0.04000000002,0.3244498072842159
GAC + decode,S2,68,18,direct,True,True,False,False,False,True,False,False,False,23,30100600,144300,29845500,0,False,0,0,0,False,False,False,0,False,none,23300,283,72,58,128,91,10.047210331194979,5.653310533735429e-05,0.04000000002,0.3176269865786008,10.047210331194979,5.653310533735429e-05,0.04000000002,0.3176269865786008
CP-SAT,S2,68,18,full_repair,True,False,True,False,False,False,False,False,False,0,2849900,0,0,2783200,True,18,18,0,False,False,False,0,True,optimal,16000,277,72,72,128,128,10.612638524128421,5.1259637154623324e-05,0.036000000020000006,0.37296049623733357,10.612638524128421,5.1259637154623324e-05,0.036000000020000006,0.37296049623733357
GAC + CP-SAT,S2,68,18,full_repair,True,False,True,False,False,False,False,False,False,0,2960600,114000,0,2781100,True,18,18,0,False,False,False,0,True,optimal,16000,283,72,58,128,91,10.612638524128421,5.1259637154623324e-05,0.036000000020000006,0.37296049623733357,10.612638524128421,5.1259637154623324e-05,0.036000000020000006,0.37296049623733357
GAC + expl repair,S2,68,18,local_repair,True,False,True,False,False,False,False,False,False,0,1944900,113400,0,1757300,True,11,11,0,False,False,False,0,False,optimal,16900,287,72,58,128,91,10.321099218039116,5.0382230517767824e-05,0.036000000020000006,0.46897548107001924,10.321099218039116,5.0382230517767824e-05,0.036000000020000006,0.46897548107001924
ConsistXApp expl,S2,68,18,direct,True,True,False,False,False,True,False,False,False,23,29531500,110100,29321000,0,False,0,0,0,False,False,False,0,False,none,20700,287,72,58,128,91,10.047210331194979,5.653310533735429e-05,0.04000000002,0.3176269865786008,10.047210331194979,5.653310533735429e-05,0.04000000002,0.3176269865786008
ConsistXApp radius,S2,68,18,direct,True,True,False,False,False,True,False,False,False,23,28713100,118700,28485300,0,False,0,0,0,False,False,False,0,False,none,23000,288,72,58,128,91,10.047210331194979,5.653310533735429e-05,0.04000000002,0.3176269865786008,10.047210331194979,5.653310533735429e-05,0.04000000002,0.3176269865786008
ConsistXApp assume,S2,68,18,direct,True,True,False,False,False,True,False,False,False,23,28514700,116000,28296400,0,False,0,0,0,False,False,False,0,False,none,20200,288,72,58,128,91,10.047210331194979,5.653310533735429e-05,0.04000000002,0.3176269865786008,10.047210331194979,5.653310533735429e-05,0.04000000002,0.3176269865786008
FC + expl repair,S2,68,18,direct,True,True,False,False,False,True,False,False,False,0,849000,0,0,0,False,0,0,0,False,False,False,0,False,none,16500,287,72,0,128,0,10.061905732977346,5.327022675667586e-05,0.04000000002,0.3409705258032904,10.061905732977346,5.327022675667586e-05,0.04000000002,0.3409705258032904
Uncoordinated,S2,69,18,blocked,False,False,False,True,False,False,False,False,False,0,37000,0,0,0,False,0,0,0,False,False,False,0,False,none,0,0,72,0,126,0,10.615712932837019,4.898399224714449e-05,0.036000000020000006,0.46235318144268883,,,,
Static priority,S2,69,18,blocked,False,False,False,True,False,False,False,False,False,0,22800,0,0,0,False,0,0,0,False,False,False,0,False,none,0,0,72,0,126,0,6.445081604243516,7.447539526636287e-05,0.04400000002,0.42278588058133443,,,,
Continuous only,S2,69,18,blocked,False,False,False,True,False,False,False,True,False,59,121960900,0,121906900,0,False,0,0,0,False,False,False,0,False,none,0,0,72,72,126,126,8.131434383619082,6.493319322156314e-05,0.04000000002,0.4661783402358036,,,,
GAC + decode,S2,69,18,direct,True,True,False,False,False,True,False,False,False,100,142360400,111700,142137800,0,False,0,0,0,False,False,False,0,False,none,22700,283,72,61,126,99,11.03256972522025,4.8583422842523615e-05,0.036000000020000006,0.506753930213266,11.03256972522025,4.8583422842523615e-05,0.036000000020000006,0.506753930213266
CP-SAT,S2,69,18,full_repair,True,False,True,False,False,False,False,False,False,0,2893100,0,0,2814700,True,18,18,0,False,False,False,0,True,optimal,20600,277,72,72,126,126,10.035224070307056,5.2614669717468936e-05,0.04000000002,0.48476802781107736,10.035224070307056,5.2614669717468936e-05,0.04000000002,0.48476802781107736
GAC + CP-SAT,S2,69,18,full_repair,True,False,True,False,False,False,False,False,False,0,2760800,108500,0,2582700,True,18,18,0,False,False,False,0,True,optimal,16500,282,72,61,126,99,10.035224070307056,5.2614669717468936e-05,0.04000000002,0.48476802781107736,10.035224070307056,5.2614669717468936e-05,0.04000000002,0.48476802781107736
GAC + expl repair,S2,69,18,local_repair,True,False,True,False,False,False,False,False,False,0,3725800,304100,0,3339900,True,9,15,3,True,False,True,6,False,optimal,17800,287,72,61,126,99,10.035224070307056,5.2614669717468936e-05,0.04000000002,0.48476802781107736,10.035224070307056,5.2614669717468936e-05,0.04000000002,0.48476802781107736
ConsistXApp expl,S2,69,18,direct,True,True,False,False,False,True,False,False,False,100,141091900,111300,140875200,0,False,0,0,0,False,False,False,0,False,none,22100,287,72,61,126,99,11.03256972522025,4.8583422842523615e-05,0.036000000020000006,0.506753930213266,11.03256972522025,4.8583422842523615e-05,0.036000000020000006,0.506753930213266
ConsistXApp radius,S2,69,18,direct,True,True,False,False,False,True,False,False,False,100,144670900,110000,144450200,0,False,0,0,0,False,False,False,0,False,none,22800,289,72,61,126,99,11.03256972522025,4.8583422842523615e-05,0.036000000020000006,0.506753930213266,11.03256972522025,4.8583422842523615e-05,0.036000000020000006,0.506753930213266
ConsistXApp assume,S2,69,18,direct,True,True,False,False,False,True,False,False,False,100,142329400,109100,142108700,0,False,0,0,0,False,False,False,0,False,none,22900,289,72,61,126,99,11.03256972522025,4.8583422842523615e-05,0.036000000020000006,0.506753930213266,11.03256972522025,4.8583422842523615e-05,0.036000000020000006,0.506753930213266
FC + expl repair,S2,69,18,direct,True,True,False,False,False,True,False,False,False,0,14521300,0,0,0,False,0,0,0,False,False,False,0,False,none,20000,287,72,0,126,0,10.543337002096257,4.856147535625606e-05,0.04000000002,0.4784300974545883,10.543337002096257,4.856147535625606e-05,0.04000000002,0.4784300974545883
Uncoordinated,S2,70,18,blocked,False,False,False,True,False,False,False,False,False,0,37600,0,0,0,False,0,0,0,False,False,False,0,False,none,0,0,72,0,120,0,15.140842530217112,3.7514424898510263e-05,0.036000000020000006,0.49111291122656814,,,,
Static priority,S2,70,18,blocked,False,False,False,True,False,False,False,False,False,0,23800,0,0,0,False,0,0,0,False,False,False,0,False,none,0,0,72,0,120,0,8.802919689494383,5.452736329888862e-05,0.04400000002,0.3556795899975388,,,,
Continuous only,S2,70,18,direct,True,True,False,False,False,True,False,False,False,100,202940900,0,202839100,0,False,0,0,0,False,False,False,0,False,none,21800,286,72,72,120,120,15.110743102810318,3.5471452088965364e-05,0.04000000002,0.5057394665496003,15.110743102810318,3.5471452088965364e-05,0.04000000002,0.5057394665496003
GAC + decode,S2,70,18,direct,True,True,False,False,False,True,False,False,False,100,136323900,93500,136123400,0,False,0,0,0,False,False,False,0,False,none,23100,283,72,58,120,94,15.110743102810318,3.5471452088965364e-05,0.04000000002,0.5057394665496003,15.110743102810318,3.5471452088965364e-05,0.04000000002,0.5057394665496003
CP-SAT,S2,70,18,full_repair,True,False,True,False,False,False,False,False,False,0,3172300,0,0,3087100,True,18,18,0,False,False,False,0,True,optimal,20200,277,72,72,120,120,12.992577770632934,4.310153149637215e-05,0.04000000002,0.47381000513168475,12.992577770632934,4.310153149637215e-05,0.04000000002,0.47381000513168475
