mu,scenario,episode,epoch,executed,churn,throughput,feasible
0.0,S1,1,26,True,1,13.4543,True
0.0,S1,1,27,True,0,7.3778,True
0.0,S1,1,28,True,0,10.3395,True
0.0,S1,1,29,True,0,9.752,True
0.0,S1,1,30,True,0,11.7896,True
0.0,S1,1,31,True,0,11.5861,True
0.0,S1,1,32,True,0,17.0332,True
0.0,S1,1,33,True,0,12.1018,True
0.0,S1,1,34,True,0,15.5986,True
0.0,S1,1,35,True,0,11.6439,True
0.0,S1,1,36,True,0,11.6161,True
0.0,S1,1,37,True,0,10.2492,True
0.0,S1,1,38,True,0,13.7428,True
0.0,S1,1,39,True,0,14.664,True
0.0,S1,1,40,True,0,13.5253,True
0.0,S1,1,41,True,0,8.5008,True
0.0,S1,1,42,True,0,11.4816,True
0.0,S1,1,43,True,0,13.056,True
0.0,S1,1,44,True,0,14.1078,True
0.0,S1,1,45,True,0,10.3786,True
0.0,S1,1,46,True,0,11.2103,True
0.0,S1,1,47,True,0,15.8551,True
0.0,S1,1,48,True,0,14.0161,True
0.0,S1,1,49,True,0,15.8013,True
0.0,S1,1,50,True,0,13.7927,True
0.0,S1,1,51,True,0,12.0079,True
0.0,S1,1,52,True,0,12.3628,True
0.0,S1,1,53,True,0,12.3204,True
0.0,S1,1,54,True,0,11.0189,True
0.0,S1,1,55,True,0,11.084,True
0.0,S1,1,56,True,0,11.6606,True
0.0,S1,1,57,True,0,14.8207,True
0.0,S1,1,58,True,0,15.1959,True
0.0,S1,1,59,True,0,12.4391,True
0.0,S1,1,60,True,0,16.341,True
0.0,S1,1,61,True,0,10.1069,True
0.0,S1,1,62,True,0,11.7988,True
0.0,S1,1,63,True,0,19.2278,True
0.0,S1,1,64,True,0,14.2496,True
0.0,S1,1,65,True,0,12.1439,True
0.0,S1,1,66,True,0,12.5496,True
0.0,S1,1,67,True,0,15.1918,True
0.0,S1,1,68,True,0,9.5218,True
0.0,S1,1,69,True,0,13.6362,True
0.0,S1,1,70,True,0,13.6748,True
0.0,S1,1,71,True,0,12.3459,True
0.0,S1,1,72,True,0,12.2302,True
0.0,S1,1,73,True,0,11.8311,True
0.0,S1,1,74,True,0,7.8296,True
0.0,S1,1,75,True,0,10.5358,True
0.0,S1,1,76,True,0,14.155,True
0.0,S1,1,77,True,0,11.6016,True
0.0,S1,1,78,True,0,12.4802,True
0.0,S1,1,79,True,0,11.7724,True
0.0,S1,1,80,True,0,12.9822,True
0.0,S1,1,81,True,0,8.8899,True
0.0,S1,1,82,True,0,11.6464,True
0.0,S1,1,83,True,0,13.4694,True
0.0,S1,1,84,True,0,12.8401,True
0.0,S1,1,85,True,0,12.5644,True
0.0,S1,1,86,True,0,17.4498,True
0.0,S1,1,87,True,0,11.4599,True
0.0,S1,1,88,True,0,12.1373,True
0.0,S1,1,89,True,0,14.9096,True
0.0,S1,1,90,True,0,13.2667,True
0.0,S1,1,91,True,0,15.0546,True
0.0,S1,1,92,True,0,8.6042,True
0.0,S1,1,93,True,0,11.7778,True
0.0,S1,1,94,True,0,11.5416,True
0.0,S1,1,95,True,0,11.8778,True
0.0,S1,1,96,True,0,8.7338,True
0.0,S1,1,97,True,0,13.5813,True
0.0,S1,1,98,True,0,12.7556,True
0.0,S1,1,99,True,0,12.8252,True
0.0,S1,2,0,True,0,12.9419,True
0.0,S1,2,1,True,1,13.3392,True
0.0,S1,2,2,True,0,16.3436,True
0.0,S1,2,3,True,2,11.9181,True
0.0,S1,2,4,True,0,14.0678,True
0.0,S1,2,5,True,0,10.7653,True
0.0,S1,2,6,True,0,8.8472,True
0.0,S1,2,7,True,0,19.4256,True
0.0,S1,2,8,True,0,14.0804,True
0.0,S1,2,9,True,0,12.5557,True
0.0,S1,2,10,True,0,13.0181,True
0.0,S1,2,11,True,0,12.8223,True
0.0,S1,2,12,True,0,13.6545,True
0.0,S1,2,13,True,0,11.0954,True
0.0,S1,2,14,True,0,16.2392,True
0.0,S1,2,15,True,0,16.2778,True
0.0,S1,2,16,True,0,12.2281,True
0.0,S1,2,17,True,0,11.4048,True
0.0,S1,2,18,True,2,15.5114,True
0.0,S1,2,19,True,2,14.3784,True
0.0,S1,2,20,True,0,13.9703,True
0.0,S1,2,21,True,0,8.2717,True
0.0,S1,2,22,True,0,10.6693,True
0.0,S1,2,23,True,0,13.7542,True
0.0,S1,2,24,True,0,12.3366,True
0.0,S1,2,25,True,0,13.6726,True
0.0,S1,2,26,True,0,9.687,True
0.0,S1,2,27,True,0,11.5174,True
0.0,S1,2,28,True,0,10.0976,True
0.0,S1,2,29,True,0,10.4226,True
0.0,S1,2,30,True,0,12.0629,True
0.0,S1,2,31,True,0,16.5603,True
0.0,S1,2,32,True,0,13.1674,True
0.0,S1,2,33,True,0,16.1272,True
0.0,S1,2,34,True,0,11.9473,True
0.0,S1,2,35,True,0,11.1503,True
0.0,S1,2,36,True,0,12.6555,True
0.0,S1,2,37,True,0,13.9764,True
0.0,S1,2,38,True,0,15.1859,True
0.0,S1,2,39,True,0,14.5669,True
0.0,S1,2,40,True,0,7.5964,True
0.0,S1,2,41,True,0,12.1532,True
0.0,S1,2,42,True,0,13.4522,True
0.0,S1,2,43,True,0,15.5765,True
0.0,S1,2,44,True,0,9.3072,True
0.0,S1,2,45,True,0,13.0186,True
0.0,S1,2,46,True,0,17.3181,True
0.0,S1,2,47,True,0,14.5759,True
0.0,S1,2,48,True,0,16.6303,True
0.0,S1,2,49,True,0,13.4721,True
0.0,S1,2,50,True,0,11.3575,True
0.0,S1,2,51,True,0,12.4314,True
0.0,S1,2,52,True,0,11.6828,True
0.0,S1,2,53,True,0,12.5548,True
0.0,S1,2,54,True,0,12.4238,True
0.0,S1,2,55,True,0,12.4095,True
0.0,S1,2,56,True,0,11.3113,True
0.0,S1,2,57,True,0,17.0797,True
0.0,S1,2,58,True,0,11.7943,True
0.0,S1,2,59,True,0,14.6516,True
0.0,S1,2,60,True,0,9.3129,True
0.0,S1,2,61,True,0,11.9354,True
0.0,S1,2,62,True,0,20.2323,True
0.0,S1,2,63,True,0,15.6956,True
0.0,S1,2,64,True,0,13.4187,True
0.0,S1,2,65,True,0,12.1937,True
0.0,S1,2,66,True,0,16.082,True
0.0,S1,2,67,True,0,9.6229,True
0.0,S1,2,68,True,0,14.0713,True
0.0,S1,2,69,True,0,14.4627,True
0.0,S1,2,70,True,0,11.4523,True
0.0,S1,2,71,True,0,14.8365,True
0.0,S1,2,72,True,0,13.9842,True
0.0,S1,2,73,True,0,9.1029,True
0.0,S1,2,74,True,0,12.4529,True
0.0,S1,2,75,True,0,15.5272,True
0.0,S1,2,76,True,0,12.3168,True
0.0,S1,2,77,True,0,12.7782,True
0.0,S1,2,78,True,0,12.867,True
0.0,S1,2,79,True,0,13.7394,True
0.0,S1,2,80,True,0,9.0505,True
0.0,S1,2,81,True,0,12.9462,True
0.0,S1,2,82,True,0,13.1882,True
0.0,S1,2,83,True,0,14.7025,True
0.0,S1,2,84,True,0,12.086,True
0.0,S1,2,85,True,0,17.5775,True
0.0,S1,2,86,True,0,12.2018,True
0.0,S1,2,87,True,0,13.1042,True
0.0,S1,2,88,True,1,16.1585,True
0.0,S1,2,89,True,0,13.8762,True
0.0,S1,2,90,True,0,15.3575,True
0.0,S1,2,91,True,0,11.0414,True
0.0,S1,2,92,True,0,15.7515,True
0.0,S1,2,93,True,0,11.9279,True
0.0,S1,2,94,True,0,10.2581,True
0.0,S1,2,95,True,0,9.5526,True
0.0,S1,2,96,True,0,13.7813,True
0.0,S1,2,97,True,0,16.0419,True
0.0,S1,2,98,True,0,15.3598,True
0.0,S1,2,99,True,0,14.774,True
0.0,S1,3,0,True,0,15.1638,True
0.0,S1,3,1,True,2,16.3807,True
0.0,S1,3,2,True,0,12.9437,True
0.0,S1,3,3,True,4,13.5223,True
0.0,S1,3,4,True,0,12.9927,True
0.0,S1,3,5,True,0,9.0917,True
0.0,S1,3,6,True,0,20.4986,True
0.0,S1,3,7,True,0,15.1356,True
0.0,S1,3,8,True,0,14.5635,True
0.0,S1,3,9,True,0,13.9686,True
0.0,S1,3,10,True,2,15.6148,True
0.0,S1,3,11,True,1,12.7812,True
0.0,S1,3,12,True,0,14.87,True
0.0,S1,3,13,True,0,16.2108,True
0.0,S1,3,14,True,0,17.1,True
0.0,S1,3,15,True,0,14.091,True
0.0,S1,3,16,True,0,12.5319,True
0.0,S1,3,17,True,0,15.0718,True
0.0,S1,3,18,True,0,15.9401,True
0.0,S1,3,19,True,1,17.907,True
0.0,S1,3,20,True,0,8.519,True
0.0,S1,3,21,True,0,10.6464,True
0.0,S1,3,22,True,0,15.1887,True
0.0,S1,3,23,True,0,17.0227,True
0.0,S1,3,24,True,0,13.6575,True
0.0,S1,3,25,True,0,9.7128,True
0.0,S1,3,26,True,0,12.5133,True
0.0,S1,3,27,True,0,9.2355,True
0.0,S1,3,28,True,0,12.9656,True
0.0,S1,3,29,True,0,13.4125,True
0.0,S1,3,30,True,0,18.8219,True
0.0,S1,3,31,True,0,14.2642,True
0.0,S1,3,32,True,0,16.5275,True
0.0,S1,3,33,True,0,14.3261,True
0.0,S1,3,34,True,0,13.3441,True
0.0,S1,3,35,True,0,14.118,True
0.0,S1,3,36,True,0,14.2985,True
0.0,S1,3,37,True,0,15.6038,True
0.0,S1,3,38,True,0,13.1555,True
0.0,S1,3,39,True,0,9.5299,True
0.0,S1,3,40,True,0,12.2129,True
0.0,S1,3,41,True,0,14.0755,True
0.0,S1,3,42,True,0,16.0714,True
0.0,S1,3,43,True,0,10.3795,True
0.0,S1,3,44,True,0,12.6315,True
0.0,S1,3,45,True,0,17.4469,True
0.0,S1,3,46,True,0,17.1528,True
0.0,S1,3,47,True,0,18.2018,True
0.0,S1,3,48,True,0,15.4318,True
0.0,S1,3,49,True,0,12.8259,True
0.0,S1,3,50,True,0,15.5725,True
0.0,S1,3,51,True,0,10.7421,True
0.0,S1,3,52,True,0,13.046,True
0.0,S1,3,53,True,0,14.1752,True
0.0,S1,3,54,True,0,13.1791,True
0.0,S1,3,55,True,0,14.6574,True
0.0,S1,3,56,True,0,18.1135,True
0.0,S1,3,57,True,0,11.6612,True
0.0,S1,3,58,True,0,14.9777,True
0.0,S1,3,59,True,0,11.2641,True
0.0,S1,3,60,True,0,13.512,True
0.0,S1,3,61,True,0,20.3868,True
0.0,S1,3,62,True,0,16.1494,True
0.0,S1,3,63,True,0,14.2662,True
0.0,S1,3,64,True,0,13.7705,True
0.0,S1,3,65,True,0,16.7494,True
0.0,S1,3,66,True,0,9.5017,True
0.0,S1,3,67,True,0,15.4789,True
0.0,S1,3,68,True,0,15.1585,True
0.0,S1,3,69,True,0,10.7765,True
0.0,S1,3,70,True,0,14.3695,True
0.0,S1,3,71,True,0,14.6255,True
0.0,S1,3,72,True,0,9.2987,True
0.0,S1,3,73,True,0,12.7313,True
0.0,S1,3,74,True,0,17.1388,True
0.0,S1,3,75,True,0,13.5965,True
0.0,S1,3,76,True,0,12.5524,True
0.0,S1,3,77,True,0,12.3116,True
0.0,S1,3,78,True,0,14.9595,True
0.0,S1,3,79,True,0,11.5896,True
0.0,S1,3,80,True,0,11.7076,True
0.0,S1,3,81,True,0,13.2741,True
0.0,S1,3,82,True,0,13.972,True
0.0,S1,3,83,True,0,12.4948,True
0.0,S1,3,84,True,0,18.1348,True
0.0,S1,3,85,True,0,13.2251,True
0.0,S1,3,86,True,0,14.0974,True
0.0,S1,3,87,True,0,16.0985,True
0.0,S1,3,88,True,0,16.8603,True
0.0,S1,3,89,True,0,16.3668,True
0.0,S1,3,90,True,0,11.5406,True
0.0,S1,3,91,True,0,17.0709,True
0.0,S1,3,92,True,0,12.2205,True
0.0,S1,3,93,True,0,12.4306,True
0.0,S1,3,94,True,0,9.6896,True
