scenario,seed,decoder,direct_feasible,violations,kept_pref,decode_ms,repair_success,repair_core,repair_expansions,repair_ms,end2end_ms
S1,59,greedy_fc,0,2,0.75,0.0248,1,3,0,0.3722,0.397
S1,59,fc_search,1,0,0.5833,0.0509,1,0,0,0.0,0.0509
S1,59,min_conflict,1,0,0.5833,0.1521,1,0,0,0.0,0.1521
S1,60,utility,0,4,0.8333,0.0695,1,6,0,0.6426,0.7121
S1,60,greedy_fc,0,2,0.75,0.0252,1,3,0,0.4974,0.5226
S1,60,fc_search,1,0,0.6667,0.0818,1,0,0,0.0,0.0818
S1,60,min_conflict,1,0,0.6667,0.1397,1,0,0,0.0,0.1397
S1,61,utility,0,6,0.8333,0.0534,1,7,0,0.8527,0.9061
S1,61,greedy_fc,0,1,0.75,0.0253,1,2,0,0.3283,0.3535
S1,61,fc_search,1,0,0.6667,0.1085,1,0,0,0.0,0.1085
S1,61,min_conflict,1,0,0.5,0.1419,1,0,0,0.0,0.1419
S1,62,utility,0,7,1.0,0.0522,1,9,0,0.9478,1.0
S1,62,greedy_fc,1,0,0.5833,0.0253,1,0,0,0.0,0.0253
S1,62,fc_search,1,0,0.5833,0.0487,1,0,0,0.0,0.0487
S1,62,min_conflict,1,0,0.5833,0.2619,1,0,0,0.0,0.2619
S1,63,utility,0,6,0.8333,0.0497,1,8,0,1.1904,1.2401
S1,63,greedy_fc,0,3,0.8333,0.0265,1,6,0,0.451,0.4775
S1,63,fc_search,1,0,0.5833,0.0578,1,0,0,0.0,0.0578
S1,63,min_conflict,1,0,0.5,0.1378,1,0,0,0.0,0.1378
S1,64,utility,0,3,0.8333,0.0563,1,4,0,0.6973,0.7536
S1,64,greedy_fc,0,1,0.5,0.0267,1,2,0,0.3499,0.3766
S1,64,fc_search,1,0,0.5833,0.2314,1,0,0,0.0,0.2314
S1,64,min_conflict,1,0,0.6667,0.1185,1,0,0,0.0,0.1185
S1,65,utility,0,7,0.9167,0.0505,1,8,0,0.8555,0.9061
S1,65,greedy_fc,0,2,0.6667,0.0249,1,2,0,0.3786,0.4035
S1,65,fc_search,1,0,0.5833,0.0941,1,0,0,0.0,0.0941
S1,65,min_conflict,1,0,0.5833,0.1155,1,0,0,0.0,0.1155
S1,66,utility,0,4,0.9167,0.0625,1,7,0,1.0824,1.1448
S1,66,greedy_fc,0,1,0.75,0.0248,1,2,0,0.4047,0.4296
S1,66,fc_search,1,0,0.6667,0.0987,1,0,0,0.0,0.0987
S1,66,min_conflict,1,0,0.6667,0.1381,1,0,0,0.0,0.1381
S1,67,utility,0,2,0.75,0.0622,1,4,0,0.4951,0.5573
S1,67,greedy_fc,1,0,0.5833,0.0237,1,0,0,0.0,0.0237
S1,67,fc_search,1,0,0.5833,0.0467,1,0,0,0.0,0.0467
S1,67,min_conflict,1,0,0.5833,0.1327,1,0,0,0.0,0.1327
S1,68,utility,0,1,0.6667,0.0668,1,2,0,0.5201,0.5868
S1,68,greedy_fc,0,4,0.8333,0.0266,1,6,0,0.4796,0.5062
S1,68,fc_search,1,0,0.5833,0.0675,1,0,0,0.0,0.0675
S1,68,min_conflict,1,0,0.5833,0.1227,1,0,0,0.0,0.1227
S1,69,utility,0,6,0.9167,0.0503,1,8,0,0.9579,1.0082
S1,69,greedy_fc,1,0,0.5,0.0262,1,0,0,0.0,0.0262
S1,69,fc_search,1,0,0.5,0.0492,1,0,0,0.0,0.0492
S1,69,min_conflict,1,0,0.5,0.2065,1,0,0,0.0,0.2065
S1,70,utility,0,6,1.0,0.0562,1,9,0,1.1429,1.1991
S1,70,greedy_fc,0,1,0.75,0.0265,1,2,0,0.4154,0.4419
S1,70,fc_search,1,0,0.6667,0.0769,1,0,0,0.0,0.0769
S1,70,min_conflict,1,0,0.6667,0.1504,1,0,0,0.0,0.1504
S1,71,utility,0,4,1.0,0.0559,1,5,0,0.4961,0.552
S1,71,greedy_fc,0,1,0.8333,0.0239,1,2,0,0.3843,0.4081
S1,71,fc_search,1,0,0.75,0.0584,1,0,0,0.0,0.0584
S1,71,min_conflict,1,0,0.75,0.1706,1,0,0,0.0,0.1706
S1,72,utility,0,2,0.6667,0.0706,1,3,0,0.4365,0.507
S1,72,greedy_fc,0,4,0.8333,0.0252,1,6,1,0.5949,0.6201
S1,72,fc_search,1,0,0.4167,0.0592,1,0,0,0.0,0.0592
S1,72,min_conflict,1,0,0.5833,0.114,1,0,0,0.0,0.114
S1,73,utility,0,6,0.8333,0.0615,1,9,0,1.1366,1.1981
S1,73,greedy_fc,0,1,0.5833,0.0259,1,2,0,0.3377,0.3635
S1,73,fc_search,1,0,0.4167,0.0631,1,0,0,0.0,0.0631
S1,73,min_conflict,1,0,0.4167,0.1399,1,0,0,0.0,0.1399
