Method,Feasible,Latency_ms,Stall,RepairAttempted,Repaired,RepairTimeout,CoreSize,Throughput,Energy,HOF,Fairness,Scenario,Load,Mobility,Cells,Seed,AblationConfig
VeriXApp,True,8.398294448852539,False,False,False,False,0,12.539204009271836,4.3064934552520955e-05,0.03200000002,0.5006018212179958,S1,0.6,3.0,10,15,
Uncoordinated,False,0.011920928955078125,False,False,False,False,0,9.32241584730244,5.792489938713214e-05,0.03200000002,0.34012146420014283,S1,0.6,3.0,10,16,
Static priority,False,0.12803077697753906,False,False,False,False,0,9.611535176321912,5.7430992018825054e-05,0.03200000002,0.3286041346214194,S1,0.6,3.0,10,16,
Continuous only,False,14.731168746948242,True,False,False,False,0,10.380092669206647,5.549083407595664e-05,0.03200000002,0.3435813324586094,S1,0.6,3.0,10,16,
CP-SAT,True,4.808187484741211,False,False,False,False,0,9.787737361800447,5.63970997172793e-05,0.026000000020000004,0.3384435095856653,S1,0.6,3.0,10,16,
VeriXApp,True,16.570329666137695,True,True,True,False,2,10.63283237795855,5.417183112883691e-05,0.03200000002,0.35575960081407093,S1,0.6,3.0,10,16,
Uncoordinated,False,0.00858306884765625,False,False,False,False,0,12.373208085368505,4.558235795508345e-05,0.03800000002000001,0.4720026910194397,S1,0.6,3.0,10,17,
Static priority,False,0.1049041748046875,False,False,False,False,0,15.804903230238232,3.492587027954107e-05,0.03800000002000001,0.5200495765650476,S1,0.6,3.0,10,17,
Continuous only,False,9.523153305053711,True,False,False,False,0,13.833256603483383,4.163878517622207e-05,0.03800000002000001,0.4712803440356086,S1,0.6,3.0,10,17,
CP-SAT,True,4.132747650146484,False,False,False,False,0,13.850130833469727,4.1588054793537345e-05,0.03800000002000001,0.4686067886500544,S1,0.6,3.0,10,17,
VeriXApp,True,12.525320053100586,True,True,True,False,2,13.188812603464894,4.3673378136305945e-05,0.03800000002000001,0.43751608246416923,S1,0.6,3.0,10,17,
Uncoordinated,False,0.019550323486328125,False,False,False,False,0,14.561486359481576,3.873230974341824e-05,0.03200000002,0.5525337847481251,S1,0.6,3.0,10,18,
Static priority,True,0.1373291015625,False,False,False,False,0,14.505540117957365,3.888169591849856e-05,0.03200000002,0.550859910394626,S1,0.6,3.0,10,18,
Continuous only,True,10.973691940307617,False,False,False,False,0,14.284206019699454,3.8644079988676494e-05,0.026000000020000004,0.545077769350427,S1,0.6,3.0,10,18,
CP-SAT,True,3.924131393432617,False,False,False,False,0,15.881614539657507,3.551276216858509e-05,0.03200000002,0.5689720107829891,S1,0.6,3.0,10,18,
