Method,Feasible,Latency_ms,Stall,RepairAttempted,Repaired,RepairTimeout,CoreSize,Throughput,Energy,HOF,Fairness,Scenario,Size,Load,Mobility,Cells,Seed,AblationConfig
Continuous only,True,17.31562614440918,False,False,False,False,0,14.470190023864212,4.035883419891986e-05,0.03200000002,0.4806350887041796,Scale,8,0.6,3.0,10,7,
CP-SAT,True,3.815174102783203,False,False,False,False,0,15.869046033056412,3.73053300599683e-05,0.028000000020000002,0.49153764901416147,Scale,8,0.6,3.0,10,7,
VeriXApp,True,17.317533493041992,False,False,False,False,0,14.470190023864212,4.035883419891986e-05,0.03200000002,0.4806350887041796,Scale,8,0.6,3.0,10,7,
Uncoordinated,False,0.0073909759521484375,False,False,False,False,0,13.037860627792709,4.5406222454782045e-05,0.03200000002,0.3710332014149283,Scale,8,0.6,3.0,10,8,
Static priority,False,0.10609626770019531,False,False,False,False,0,12.592385038412944,4.70125395780156e-05,0.028000000020000002,0.3696902711542134,Scale,8,0.6,3.0,10,8,
Continuous only,True,15.328645706176758,False,False,False,False,0,12.838346018941046,4.361932597655527e-05,0.028000000020000002,0.38774100540690465,Scale,8,0.6,3.0,10,8,
CP-SAT,True,5.095005035400391,False,False,False,False,0,13.57462783222615,4.18427677738294e-05,0.024000000020000002,0.4124269702094728,Scale,8,0.6,3.0,10,8,
VeriXApp,True,15.452146530151367,False,False,False,False,0,12.838346018941046,4.361932597655527e-05,0.028000000020000002,0.38774100540690465,Scale,8,0.6,3.0,10,8,
Uncoordinated,False,0.0073909759521484375,False,False,False,False,0,15.757104478321555,3.807806191965492e-05,0.03200000002,0.5183465214905207,Scale,8,0.6,3.0,10,9,
Static priority,False,0.08225440979003906,False,False,False,False,0,14.577000014347036,4.116073262052998e-05,0.03200000002,0.5462211809517707,Scale,8,0.6,3.0,10,9,
Continuous only,True,30.979394912719727,False,False,False,False,0,16.450300755268078,3.404193080303802e-05,0.028000000020000002,0.5642554166341722,Scale,8,0.6,3.0,10,9,
CP-SAT,True,5.1097869873046875,False,False,False,False,0,14.597076219890475,4.1104121877668864e-05,0.03200000002,0.5017340906512259,Scale,8,0.6,3.0,10,9,
VeriXApp,True,31.414031982421875,False,False,False,False,0,16.450300755268078,3.404193080303802e-05,0.028000000020000002,0.5642554166341722,Scale,8,0.6,3.0,10,9,
Uncoordinated,False,0.007867813110351562,False,False,False,False,0,15.668493947531342,3.625109100479255e-05,0.03200000002,0.558699041207427,Scale,8,0.6,3.0,10,10,
Static priority,False,0.09584426879882812,False,False,False,False,0,15.696236755942614,3.5677341563287986e-05,0.03200000002,0.5568246762746553,Scale,8,0.6,3.0,10,10,
Continuous only,False,25.782108306884766,True,False,False,False,0,16.086378186994775,3.431474714714037e-05,0.028000000020000002,0.5730186651386064,Scale,8,0.6,3.0,10,10,
CP-SAT,True,3.5097599029541016,False,False,False,False,0,15.604064125592522,3.6400773249092994e-05,0.028000000020000002,0.5514337574639924,Scale,8,0.6,3.0,10,10,
VeriXApp,True,29.48760986328125,True,True,True,False,2,16.043594484525737,3.4406254816052064e-05,0.028000000020000002,0.5680510565413688,Scale,8,0.6,3.0,10,10,
Uncoordinated,False,0.0073909759521484375,False,False,False,False,0,10.191666042308212,5.887163075293545e-05,0.028000000020000002,0.6066332514882486,Scale,8,0.6,3.0,10,11,
Static priority,False,0.0629425048828125,False,False,False,False,0,12.014552509468222,4.8607719641640526e-05,0.024000000020000002,0.6524431063606192,Scale,8,0.6,3.0,10,11,
Continuous only,False,21.732807159423828,True,False,False,False,0,10.279593271509857,5.603334536556014e-05,0.028000000020000002,0.5849440035495619,Scale,8,0.6,3.0,10,11,
CP-SAT,True,4.368066787719727,False,False,False,False,0,11.529088881853697,4.857278885944027e-05,0.028000000020000002,0.6348745786696918,Scale,8,0.6,3.0,10,11,
VeriXApp,True,24.573564529418945,True,True,True,False,4,11.470445975283528,4.882111830757808e-05,0.024000000020000002,0.6458797748169323,Scale,8,0.6,3.0,10,11,
Uncoordinated,False,0.00762939453125,False,False,False,False,0,15.852685900046335,3.5829890504443783e-05,0.03200000002,0.4313002651642173,Scale,8,0.6,3.0,10,12,
Static priority,True,0.10752677917480469,False,False,False,False,0,16.404460065131367,3.462472996641425e-05,0.03200000002,0.44288559665362903,Scale,8,0.6,3.0,10,12,
Continuous only,False,28.835058212280273,True,False,False,False,0,16.67224327450871,3.310892187159896e-05,0.028000000020000002,0.45184139383184657,Scale,8,0.6,3.0,10,12,
CP-SAT,True,4.932403564453125,False,False,False,False,0,16.404460065131367,3.462472996641425e-05,0.03200000002,0.44288559665362903,Scale,8,0.6,3.0,10,12,
VeriXApp,True,34.2717170715332,True,True,True,False,7,16.404460065131367,3.462472996641425e-05,0.03200000002,0.44288559665362903,Scale,8,0.6,3.0,10,12,
Uncoordinated,False,0.0073909759521484375,False,False,False,False,0,15.022699473245854,3.834197715435943e-05,0.028000000020000002,0.49741058083104234,Scale,8,0.6,3.0,10,13,
Static priority,False,0.07987022399902344,False,False,False,False,0,14.298105058179958,4.1963602698298784e-05,0.03200000002,0.4769276520544392,Scale,8,0.6,3.0,10,13,
Continuous only,True,19.535541534423828,False,False,False,False,0,14.743685591011838,3.852496694220533e-05,0.028000000020000002,0.49605132676013325,Scale,8,0.6,3.0,10,13,
CP-SAT,True,3.455638885498047,False,False,False,False,0,15.050159124337563,3.774046475571737e-05,0.028000000020000002,0.5112502752087605,Scale,8,0.6,3.0,10,13,
VeriXApp,True,18.954038619995117,False,False,False,False,0,14.743685591011838,3.852496694220533e-05,0.028000000020000002,0.49605132676013325,Scale,8,0.6,3.0,10,13,
Uncoordinated,False,0.00762939453125,False,False,False,False,0,11.458480493289606,5.0966618160410195e-05,0.028000000020000002,0.4641090505913924,Scale,8,0.6,3.0,10,14,
Static priority,False,0.09202957153320312,False,False,False,False,0,11.92531971758977,4.8971433372859906e-05,0.028000000020000002,0.48672126996278076,Scale,8,0.6,3.0,10,14,
Continuous only,True,19.826889038085938,False,False,False,False,0,10.94228607522623,5.26398227975493e-05,0.03200000002,0.5024551257943529,Scale,8,0.6,3.0,10,14,
CP-SAT,True,4.349470138549805,False,False,False,False,0,11.6331938300778,4.951348773289956e-05,0.028000000020000002,0.50843978400301,Scale,8,0.6,3.0,10,14,
VeriXApp,True,19.919872283935547,False,False,False,False,0,10.94228607522623,5.26398227975493e-05,0.03200000002,0.5024551257943529,Scale,8,0.6,3.0,10,14,
Uncoordinated,False,0.0073909759521484375,False,False,False,False,0,13.156617994969995,4.256413009894319e-05,0.024000000020000002,0.509993431956178,Scale,8,0.6,3.0,10,15,
Static priority,True,0.12445449829101562,False,False,False,False,0,13.389094531020774,4.3020086135435344e-05,0.024000000020000002,0.536501788717805,Scale,8,0.6,3.0,10,15,
Continuous only,True,18.796682357788086,False,False,False,False,0,13.064975181265787,4.592431226814391e-05,0.028000000020000002,0.5357523244394821,Scale,8,0.6,3.0,10,15,
CP-SAT,True,2.61688232421875,False,False,False,False,0,13.389094531020774,4.3020086135435344e-05,0.024000000020000002,0.536501788717805,Scale,8,0.6,3.0,10,15,
VeriXApp,True,18.529415130615234,False,False,False,False,0,13.064975181265787,4.592431226814391e-05,0.028000000020000002,0.5357523244394821,Scale,8,0.6,3.0,10,15,
Uncoordinated,False,0.009775161743164062,False,False,False,False,0,12.478796355039224,4.615829793290905e-05,0.028000000020000002,0.43219773981539467,Scale,8,0.6,3.0,10,16,
Static priority,True,0.10991096496582031,False,False,False,False,0,11.912837002726398,4.633656952358771e-05,0.028000000020000002,0.45065440886115576,Scale,8,0.6,3.0,10,16,
Continuous only,True,32.10616111755371,False,False,False,False,0,12.245814315261077,4.899633332282878e-05,0.03200000002,0.43453326573772816,Scale,8,0.6,3.0,10,16,
CP-SAT,True,3.8747787475585938,False,False,False,False,0,12.487605022604042,4.612573819858747e-05,0.028000000020000002,0.4321426071256876,Scale,8,0.6,3.0,10,16,
VeriXApp,True,32.408714294433594,False,False,False,False,0,12.245814315261077,4.899633332282878e-05,0.03200000002,0.43453326573772816,Scale,8,0.6,3.0,10,16,
Uncoordinated,False,0.009775161743164062,False,False,False,False,0,16.021967200607254,3.694927049766788e-05,0.028000000020000002,0.5653528740038168,Scale,8,0.6,3.0,10,17,
Static priority,False,0.09846687316894531,False,False,False,False,0,15.452056939326178,3.83120514197261e-05,0.028000000020000002,0.5407516958212253,Scale,8,0.6,3.0,10,17,
Continuous only,True,17.033100128173828,False,False,False,False,0,15.973417845723965,3.605990937964435e-05,0.03200000002,0.5679054307673526,Scale,8,0.6,3.0,10,17,
CP-SAT,True,4.042625427246094,False,False,False,False,0,15.179600120710427,3.794566361561324e-05,0.03200000002,0.5649959681693286,Scale,8,0.6,3.0,10,17,
VeriXApp,True,17.17066764831543,False,False,False,False,0,15.973417845723965,3.605990937964435e-05,0.03200000002,0.5679054307673526,Scale,8,0.6,3.0,10,17,
Uncoordinated,False,0.00762939453125,False,False,False,False,0,15.90198183407878,3.6221900264381e-05,0.024000000020000002,0.5759785938461357,Scale,8,0.6,3.0,10,18,
Static priority,False,0.10752677917480469,False,False,False,False,0,15.627726178290427,3.7369479944643226e-05,0.028000000020000002,0.5667067009412713,Scale,8,0.6,3.0,10,18,
Continuous only,True,27.81534194946289,False,False,False,False,0,13.517929129610243,4.2610076919127006e-05,0.028000000020000002,0.5204844277224717,Scale,8,0.6,3.0,10,18,
CP-SAT,True,3.894805908203125,False,False,False,False,0,13.965707639204458,4.0098218756060095e-05,0.028000000020000002,0.5352376422378073,Scale,8,0.6,3.0,10,18,
VeriXApp,True,27.9083251953125,False,False,False,False,0,13.517929129610243,4.2610076919127006e-05,0.028000000020000002,0.5204844277224717,Scale,8,0.6,3.0,10,18,
Uncoordinated,False,0.00762939453125,False,False,False,False,0,12.622467105860014,4.6900498534487165e-05,0.03200000002,0.6130354275499057,Scale,8,0.6,3.0,10,19,
Static priority,False,0.10633468627929688,False,False,False,False,0,11.689899634891244,4.722025143418911e-05,0.028000000020000002,0.5633216225130745,Scale,8,0.6,3.0,10,19,
Continuous only,True,11.012792587280273,False,False,False,False,0,13.336818448606214,4.3788554388024374e-05,0.03200000002,0.6550748411629304,Scale,8,0.6,3.0,10,19,
CP-SAT,True,4.018306732177734,False,False,False,False,0,13.503732251342486,4.32473029774373e-05,0.028000000020000002,0.6674303048613366,Scale,8,0.6,3.0,10,19,
VeriXApp,True,11.077404022216797,False,False,False,False,0,13.336818448606214,4.3788554388024374e-05,0.03200000002,0.6550748411629304,Scale,8,0.6,3.0,10,19,
Uncoordinated,False,0.012159347534179688,False,False,False,False,0,11.73497029722415,4.840233810684273e-05,0.04000000002,0.3971531447152909,Scale,16,0.6,3.0,10,0,
Static priority,False,0.3383159637451172,False,False,False,False,0,11.519376960288703,4.8613740303014186e-05,0.04000000002,0.3930061952957563,Scale,16,0.6,3.0,10,0,
Continuous only,True,103.26170921325684,False,False,False,False,0,11.883737408966047,4.7123222327135146e-05,0.03200000002,0.3794970774335429,Scale,16,0.6,3.0,10,0,
CP-SAT,True,6.517887115478516,False,False,False,False,0,12.031092219056728,4.52161773923009e-05,0.03200000002,0.40873657825686266,Scale,16,0.6,3.0,10,0,
VeriXApp,True,102.87642478942871,False,False,False,False,0,11.883737408966047,4.7123222327135146e-05,0.03200000002,0.3794970774335429,Scale,16,0.6,3.0,10,0,
Uncoordinated,False,0.011920928955078125,False,False,False,False,0,7.277678826473386,7.474910791901643e-05,0.04000000002,0.2752275673302797,Scale,16,0.6,3.0,10,1,
Static priority,False,0.3287792205810547,False,False,False,False,0,7.310948948355909,7.440894524675009e-05,0.04000000002,0.27777876547831376,Scale,16,0.6,3.0,10,1,
Continuous only,False,51.07712745666504,True,False,False,False,0,6.740169112723529,8.071014108133907e-05,0.04000000002,0.23768672445711309,Scale,16,0.6,3.0,10,1,
CP-SAT,True,5.577802658081055,False,False,False,False,0,8.64214987690274,6.387299547711978e-05,0.04400000002,0.334570428576978,Scale,16,0.6,3.0,10,1,
VeriXApp,True,52.883148193359375,True,True,True,False,2,7.00679102006948,7.878071408422372e-05,0.04000000002,0.24894316003827444,Scale,16,0.6,3.0,10,1,
Uncoordinated,False,0.012159347534179688,False,False,False,False,0,11.132336905692444,5.1741157753271585e-05,0.036000000020000006,0.5163671373502231,Scale,16,0.6,3.0,10,2,
Static priority,False,0.3833770751953125,False,False,False,False,0,11.262793765300252,5.114184029317921e-05,0.036000000020000006,0.5639820750886817,Scale,16,0.6,3.0,10,2,
Continuous only,True,36.44704818725586,False,False,False,False,0,11.207464269625097,4.9966699560910816e-05,0.02800000002,0.5598811945075391,Scale,16,0.6,3.0,10,2,
CP-SAT,True,3.9129257202148438,False,False,False,False,0,11.36706258908636,4.926514617221005e-05,0.03200000002,0.5587115546365359,Scale,16,0.6,3.0,10,2,
VeriXApp,True,36.20195388793945,False,False,False,False,0,11.207464269625097,4.9966699560910816e-05,0.02800000002,0.5598811945075391,Scale,16,0.6,3.0,10,2,
Uncoordinated,False,0.01239776611328125,False,False,False,False,0,14.274220746732588,3.8671112755934814e-05,0.03200000002,0.6194372561517694,Scale,16,0.6,3.0,10,3,
Static priority,False,0.3380775451660156,False,False,False,False,0,13.005324766916235,4.1829020785690906e-05,0.036000000020000006,0.5874335355193994,Scale,16,0.6,3.0,10,3,
