Method,Feasible,Latency_ms,Stall,RepairAttempted,Repaired,RepairTimeout,CoreSize,Throughput,Energy,HOF,Fairness,Scenario,Load,Mobility,Cells,Seed,AblationConfig,Size
Static priority,True,0.3387928009033203,False,False,False,False,0,15.165442459725757,3.587102726772915e-05,0.03600000002,0.4107646433476438,S3,0.6,3.0,10,12,,
Continuous only,True,40.63224792480469,False,False,False,False,0,14.98083716432012,3.417699520954884e-05,0.03200000002,0.3915506497360874,S3,0.6,3.0,10,12,,
CP-SAT,True,6.020784378051758,False,False,False,False,0,13.712048467991185,4.1423424175163526e-05,0.03200000002,0.3736029491284168,S3,0.6,3.0,10,12,,
VeriXApp,True,39.888858795166016,False,False,False,False,0,14.98083716432012,3.417699520954884e-05,0.03200000002,0.3915506497360874,S3,0.6,3.0,10,12,,
Uncoordinated,False,0.0112056732177734,False,False,False,False,0,14.49098280765325,4.030092421968556e-05,0.04400000002,0.4744111967428798,S3,0.6,3.0,10,13,,
Static priority,False,0.2238750457763672,False,False,False,False,0,14.664846313852252,3.764103545214701e-05,0.04000000002,0.4879386456769334,S3,0.6,3.0,10,13,,
Continuous only,False,39.02721405029297,True,False,False,False,0,12.781436716356849,4.318763314718653e-05,0.04000000002,0.4394501979310137,S3,0.6,3.0,10,13,,
CP-SAT,True,4.088640213012695,False,False,False,False,0,14.48578734841684,4.031537851229231e-05,0.04400000002,0.4754414464492373,S3,0.6,3.0,10,13,,
VeriXApp,True,42.26350784301758,True,True,True,False,2,12.755021991966624,4.390427553576149e-05,0.04000000002,0.4399923881788248,S3,0.6,3.0,10,13,,
Uncoordinated,False,0.011444091796875,False,False,False,False,0,9.752928762401758,5.659838325980599e-05,0.04000000002,0.352683307758229,S3,0.6,3.0,10,14,,
Static priority,False,0.2665519714355469,False,False,False,False,0,10.129948356235207,5.291241190485241e-05,0.03200000002,0.3704096151966827,S3,0.6,3.0,10,14,,
Continuous only,True,29.50668334960937,False,False,False,False,0,9.275912060734878,6.03714218433022e-05,0.03200000002,0.4939783290705222,S3,0.6,3.0,10,14,,
CP-SAT,True,5.228042602539063,False,False,False,False,0,9.50658324672542,5.80650256431656e-05,0.04000000002,0.3439308762125095,S3,0.6,3.0,10,14,,
VeriXApp,True,28.8848876953125,False,False,False,False,0,9.275912060734878,6.03714218433022e-05,0.03200000002,0.4939783290705222,S3,0.6,3.0,10,14,,
Uncoordinated,False,0.0112056732177734,False,False,False,False,0,12.732242507323685,4.3354499388657216e-05,0.02800000002,0.4957510362197823,S3,0.6,3.0,10,15,,
Static priority,False,0.2076625823974609,False,False,False,False,0,12.515568817276533,4.282665916551103e-05,0.02800000002,0.4995133868651554,S3,0.6,3.0,10,15,,
Continuous only,True,26.807069778442383,False,False,False,False,0,11.920775770577825,4.295022487241889e-05,0.03600000002,0.4645100989612228,S3,0.6,3.0,10,15,,
CP-SAT,True,4.759311676025391,False,False,False,False,0,12.254521416802032,4.439177847077144e-05,0.03200000002,0.4714751773584052,S3,0.6,3.0,10,15,,
VeriXApp,True,26.76582336425781,False,False,False,False,0,11.920775770577825,4.295022487241889e-05,0.03600000002,0.4645100989612228,S3,0.6,3.0,10,15,,
Uncoordinated,False,0.0116825103759765,False,False,False,False,0,10.02827423737198,5.584211069069788e-05,0.04000000002,0.3424530465143187,S3,0.6,3.0,10,16,,
Static priority,False,0.2062320709228515,False,False,False,False,0,10.163047514315307,5.510158239555644e-05,0.03600000002,0.3491437134780696,S3,0.6,3.0,10,16,,
Continuous only,True,27.677536010742188,False,False,False,False,0,9.182644196421856,5.5757360194736486e-05,0.04000000002,0.3256906994206284,S3,0.6,3.0,10,16,,
CP-SAT,True,5.2700042724609375,False,False,False,False,0,10.417884358953795,5.452162650584852e-05,0.03600000002,0.3683156193844585,S3,0.6,3.0,10,16,,
VeriXApp,True,27.7099609375,False,False,False,False,0,9.182644196421856,5.5757360194736486e-05,0.04000000002,0.3256906994206284,S3,0.6,3.0,10,16,,
Uncoordinated,False,0.011444091796875,False,False,False,False,0,15.875687187290357,3.6281894018492e-05,0.03600000002,0.4973032706804016,S3,0.6,3.0,10,17,,
Static priority,False,0.2453327178955078,False,False,False,False,0,14.829362025532426,3.66839786541976e-05,0.03600000002,0.5080961310170428,S3,0.6,3.0,10,17,,
Continuous only,False,35.73107719421387,True,False,False,False,0,13.207609220957195,3.997695503908423e-05,0.04000000002,0.4565481119913298,S3,0.6,3.0,10,17,,
CP-SAT,True,5.208253860473633,False,False,False,False,0,14.151142741133476,4.07034266091972e-05,0.04000000002,0.5030176700678561,S3,0.6,3.0,10,17,,
VeriXApp,True,39.61491584777832,True,True,True,False,2,13.208763156894912,3.997346259663884e-05,0.04400000002,0.4566970730379736,S3,0.6,3.0,10,17,,
Uncoordinated,False,0.0123977661132812,False,False,False,False,0,14.559230178893724,3.736461291673428e-05,0.03600000002,0.6010858945590758,S3,0.6,3.0,10,18,,
Static priority,False,0.3671646118164062,False,False,False,False,0,14.337258584410614,3.7385110747936906e-05,0.03600000002,0.5508296737126145,S3,0.6,3.0,10,18,,
Continuous only,True,65.77754020690918,False,False,False,False,0,13.060078992237868,4.349131428206409e-05,0.03600000002,0.5270038328772401,S3,0.6,3.0,10,18,,
CP-SAT,True,6.674528121948242,False,False,False,False,0,14.087124351182142,3.9752612814339694e-05,0.03200000002,0.6011802073916866,S3,0.6,3.0,10,18,,
VeriXApp,True,65.74630737304688,False,False,False,False,0,13.060078992237868,4.349131428206409e-05,0.03600000002,0.5270038328772401,S3,0.6,3.0,10,18,,
Uncoordinated,False,0.0112056732177734,False,False,False,False,0,12.11819374247814,4.489117863276159e-05,0.03600000002,0.6204427989047931,S3,0.6,3.0,10,19,,
Static priority,False,0.2002716064453125,False,False,False,False,0,12.584156095681172,4.3864681572842536e-05,0.04000000002,0.5969750541347049,S3,0.6,3.0,10,19,,
Continuous only,True,34.49869155883789,False,False,False,False,0,10.767847135708628,4.903487144138888e-05,0.03200000002,0.5672771326361267,S3,0.6,3.0,10,19,,
CP-SAT,True,6.456613540649414,False,False,False,False,0,9.97842597376018,5.5319346102438365e-05,0.04000000002,0.5135765498981275,S3,0.6,3.0,10,19,,
VeriXApp,True,35.21561622619629,False,False,False,False,0,10.767847135708628,4.903487144138888e-05,0.03200000002,0.5672771326361267,S3,0.6,3.0,10,19,,
Uncoordinated,False,0.0147819519042968,False,False,False,False,0,13.187727495889632,4.125047322744231e-05,0.03600000002,0.3947369640610056,S3,0.6,3.0,10,20,,
Static priority,False,0.2679824829101562,False,False,False,False,0,15.080234455609132,3.6604205433602005e-05,0.03200000002,0.4515595804910177,S3,0.6,3.0,10,20,,
Continuous only,True,26.5963077545166,False,False,False,False,0,12.591854049972962,4.129653964668662e-05,0.03600000002,0.4155943423088127,S3,0.6,3.0,10,20,,
CP-SAT,True,4.516124725341797,False,False,False,False,0,12.325780228064342,4.608227548197973e-05,0.03600000002,0.3928977026995849,S3,0.6,3.0,10,20,,
VeriXApp,True,27.06527709960937,False,False,False,False,0,12.591854049972962,4.129653964668662e-05,0.03600000002,0.4155943423088127,S3,0.6,3.0,10,20,,
Uncoordinated,False,0.0109672546386718,False,False,False,False,0,9.696068364174154,5.940552173995112e-05,0.04400000002,0.5619602152579356,S3,0.6,3.0,10,21,,
Static priority,False,0.3070831298828125,False,False,False,False,0,10.6127410048785,5.35205749145202e-05,0.04400000002,0.4948003642401991,S3,0.6,3.0,10,21,,
Continuous only,True,45.71413993835449,False,False,False,False,0,12.835739613915846,4.051188444460519e-05,0.03600000002,0.5193205540176351,S3,0.6,3.0,10,21,,
CP-SAT,True,6.075620651245117,False,False,False,False,0,10.417169323148125,5.529333181904447e-05,0.04400000002,0.4391139576570937,S3,0.6,3.0,10,21,,
VeriXApp,True,46.1735725402832,False,False,False,False,0,12.835739613915846,4.051188444460519e-05,0.03600000002,0.5193205540176351,S3,0.6,3.0,10,21,,
Uncoordinated,False,0.0145435333251953,False,False,False,False,0,13.380111097482349,4.304896990790924e-05,0.03200000002,0.4239822269949673,S3,0.6,3.0,10,22,,
Static priority,False,0.3201961517333984,False,False,False,False,0,13.667770191206552,4.214293860241971e-05,0.03200000002,0.4326637310340861,S3,0.6,3.0,10,22,,
Continuous only,True,29.22224998474121,False,False,False,False,0,14.528311164730589,3.799478093090776e-05,0.03600000002,0.4580123728548476,S3,0.6,3.0,10,22,,
CP-SAT,True,7.174253463745117,False,False,False,False,0,13.636309968239154,3.989349034064575e-05,0.03600000002,0.4146710085697661,S3,0.6,3.0,10,22,,
VeriXApp,True,30.26914596557617,False,False,False,False,0,14.528311164730589,3.799478093090776e-05,0.03600000002,0.4580123728548476,S3,0.6,3.0,10,22,,
Uncoordinated,False,0.0119209289550781,False,False,False,False,0,11.299097750134374,4.602137369718888e-05,0.03200000002,0.4460194951110053,S3,0.6,3.0,10,23,,
Static priority,True,0.3330707550048828,False,False,False,False,0,11.81619775524184,4.536146153801653e-05,0.03600000002,0.4257649094039876,S3,0.6,3.0,10,23,,
Continuous only,True,29.63542938232422,False,False,False,False,0,12.054374094638929,4.3137868123013136e-05,0.04000000002,0.4277008560102561,S3,0.6,3.0,10,23,,
CP-SAT,True,6.107330322265625,False,False,False,False,0,12.821137991835135,4.180596140072277e-05,0.03600000002,0.4668390480171536,S3,0.6,3.0,10,23,,
VeriXApp,True,29.73151206970215,False,False,False,False,0,12.054374094638929,4.3137868123013136e-05,0.04000000002,0.4277008560102561,S3,0.6,3.0,10,23,,
Uncoordinated,False,0.0119209289550781,False,False,False,False,0,11.87202962726454,4.582198807444723e-05,0.03600000002,0.5858171129635649,S3,0.6,3.0,10,24,,
Static priority,False,0.2248287200927734,False,False,False,False,0,11.171571837940098,4.726282099416341e-05,0.03200000002,0.5921928066321691,S3,0.6,3.0,10,24,,
Continuous only,True,37.03141212463379,False,False,False,False,0,12.176007072970794,4.599208892077023e-05,0.03600000002,0.6052563896496179,S3,0.6,3.0,10,24,,
CP-SAT,True,4.334449768066406,False,False,False,False,0,13.043299937011236,4.232057858561261e-05,0.02800000002,0.5986426003622629,S3,0.6,3.0,10,24,,
VeriXApp,True,37.05406188964844,False,False,False,False,0,12.176007072970794,4.599208892077023e-05,0.03600000002,0.6052563896496179,S3,0.6,3.0,10,24,,
Uncoordinated,False,0.0119209289550781,False,False,False,False,0,9.658698161636217,5.963536600489684e-05,0.04400000002,0.5253206858552969,S3,0.6,3.0,10,25,,
Static priority,False,0.2329349517822265,False,False,False,False,0,11.610272023457552,4.547697064575417e-05,0.03600000002,0.4855673216304981,S3,0.6,3.0,10,25,,
Continuous only,True,27.37212181091309,False,False,False,False,0,9.315954919123632,5.58182177258665e-05,0.04000000002,0.4542206750656499,S3,0.6,3.0,10,25,,
CP-SAT,True,5.627632141113281,False,False,False,False,0,9.658698161636217,5.963536600489684e-05,0.04400000002,0.5253206858552969,S3,0.6,3.0,10,25,,
VeriXApp,True,27.09746360778809,False,False,False,False,0,9.315954919123632,5.58182177258665e-05,0.04000000002,0.4542206750656499,S3,0.6,3.0,10,25,,
Uncoordinated,False,0.0116825103759765,False,False,False,False,0,14.439668656288145,3.76739946704456e-05,0.04000000002,0.481335186047918,S3,0.6,3.0,10,26,,
Static priority,False,0.2739429473876953,False,False,False,False,0,14.978390703300338,3.631898851991724e-05,0.04000000002,0.5152958017409796,S3,0.6,3.0,10,26,,
Continuous only,True,46.69928550720215,False,False,False,False,0,15.79031925939756,3.34382092803958e-05,0.03600000002,0.5311023300431892,S3,0.6,3.0,10,26,,
CP-SAT,True,7.170915603637695,False,False,False,False,0,16.003036710307683,3.2993737973487936e-05,0.04000000002,0.4901594862868473,S3,0.6,3.0,10,26,,
VeriXApp,True,46.45514488220215,False,False,False,False,0,15.79031925939756,3.34382092803958e-05,0.03600000002,0.5311023300431892,S3,0.6,3.0,10,26,,
Uncoordinated,False,0.0119209289550781,False,False,False,False,0,14.373102490169916,3.840506949543601e-05,0.03600000002,0.5383203145065699,S3,0.6,3.0,10,27,,
Static priority,False,0.166177749633789,False,False,False,False,0,14.72012294106334,3.586926563820253e-05,0.04000000002,0.4679317827475173,S3,0.6,3.0,10,27,,
Continuous only,True,25.44283866882324,False,False,False,False,0,9.53768009886894,5.619815242739829e-05,0.04400000002,0.4226740536745361,S3,0.6,3.0,10,27,,
CP-SAT,True,5.097627639770508,False,False,False,False,0,12.280245354360757,4.690460030551917e-05,0.03600000002,0.4746361622087799,S3,0.6,3.0,10,27,,
VeriXApp,True,25.432825088500977,False,False,False,False,0,9.53768009886894,5.619815242739829e-05,0.04400000002,0.4226740536745361,S3,0.6,3.0,10,27,,
Uncoordinated,False,0.011444091796875,False,False,False,False,0,11.00388048655146,5.234517047908381e-05,0.04000000002,0.4620808615257429,S3,0.6,3.0,10,28,,
Static priority,True,0.30517578125,False,False,False,False,0,11.85989466436573,4.991612630243039e-05,0.02800000002,0.5069000308408521,S3,0.6,3.0,10,28,,
Continuous only,False,68.30072402954102,True,False,False,False,0,9.636931876778531,5.478922200044665e-05,0.03200000002,0.4705480701975464,S3,0.6,3.0,10,28,,
CP-SAT,True,6.024599075317383,False,False,False,False,0,11.497299053162385,5.1490354148626566e-05,0.03600000002,0.4724762173630246,S3,0.6,3.0,10,28,,
VeriXApp,True,70.00994682312012,True,True,True,False,2,9.486421358519848,5.818843367148597e-05,0.03200000002,0.4808749807655881,S3,0.6,3.0,10,28,,
Uncoordinated,False,0.0119209289550781,False,False,False,False,0,12.88877803128151,4.282795457104444e-05,0.03600000002,0.5046280979439404,S3,0.6,3.0,10,29,,
Static priority,False,0.1976490020751953,False,False,False,False,0,12.229485668101796,4.644512577348335e-05,0.03600000002,0.474064557712919,S3,0.6,3.0,10,29,,
Continuous only,True,34.857749938964844,False,False,False,False,0,12.083479496765952,4.6344266992787934e-05,0.04000000002,0.4592225609887699,S3,0.6,3.0,10,29,,
CP-SAT,True,6.5555572509765625,False,False,False,False,0,12.085149222607551,4.56758944248185e-05,0.03600000002,0.4741749346060551,S3,0.6,3.0,10,29,,
VeriXApp,True,33.90216827392578,False,False,False,False,0,12.083479496765952,4.6344266992787934e-05,0.04000000002,0.4592225609887699,S3,0.6,3.0,10,29,,
Uncoordinated,False,0.0159740447998046,False,False,False,False,0,11.800750612174204,4.609876251759648e-05,0.03600000002,0.4075889407047937,S4,0.6,3.0,10,0,,
Static priority,False,0.3707408905029297,False,False,False,False,0,12.655926995786768,4.2351698155215146e-05,0.03600000002,0.4065118231997121,S4,0.6,3.0,10,0,,
Continuous only,False,77.01754570007324,True,False,False,False,0,9.616285730166563,5.490685435267889e-05,0.04000000002,0.41720784924559,S4,0.6,3.0,10,0,,
CP-SAT,True,7.894277572631836,False,False,False,False,0,11.35016369248179,4.722398852758748e-05,0.03600000002,0.3802973501741697,S4,0.6,3.0,10,0,,
VeriXApp,True,81.87747001647949,True,True,True,False,5,10.000432022742803,5.519761533748257e-05,0.03200000002,0.4098843871442901,S4,0.6,3.0,10,0,,
Uncoordinated,False,0.0169277191162109,False,False,False,False,0,5.574191301446323,9.472226040448252e-05,0.03600000002,0.3339065682249695,S4,0.6,3.0,10,1,,
Static priority,False,0.2508163452148437,False,False,False,False,0,6.462969137487164,8.540966052247319e-05,0.03200000002,0.3494778160338735,S4,0.6,3.0,10,1,,
Continuous only,False,69.98825073242188,True,False,False,False,0,7.147812839789379,7.498797352614985e-05,0.04000000002,0.2884179913198363,S4,0.6,3.0,10,1,,
CP-SAT,True,6.674528121948242,False,False,False,False,0,5.793780406477275,9.11322078085168e-05,0.03600000002,0.2476935548760023,S4,0.6,3.0,10,1,,
VeriXApp,True,74.89228248596191,True,True,True,False,6,6.697787630157165,8.002642508201215e-05,0.04000000002,0.3224045982430562,S4,0.6,3.0,10,1,,
Uncoordinated,False,0.0138282775878906,False,False,False,False,0,10.612975552390164,4.82428323209217e-05,0.03200000002,0.5369282310984171,S4,0.6,3.0,10,2,,
Static priority,False,0.4088878631591797,False,False,False,False,0,10.532571102704962,5.0889758518919015e-05,0.03200000002,0.4841043495889894,S4,0.6,3.0,10,2,,
Continuous only,False,51.53179168701172,True,False,False,False,0,12.8724876089989,4.101771281806368e-05,0.02800000002,0.5449797562562368,S4,0.6,3.0,10,2,,
CP-SAT,True,4.858970642089844,False,False,False,False,0,12.004095512122303,4.398498824562006e-05,0.03200000002,0.5474561101972713,S4,0.6,3.0,10,2,,
VeriXApp,True,54.83436584472656,True,True,True,False,2,12.741157915322658,4.2068389981682944e-05,0.02800000002,0.5412686650822371,S4,0.6,3.0,10,2,,
Uncoordinated,False,0.0123977661132812,False,False,False,False,0,9.495803358426452,5.813094260320401e-05,0.03600000002,0.5196741134089893,S4,0.6,3.0,10,3,,
Static priority,False,0.3421306610107422,False,False,False,False,0,10.120226191683852,5.3753739263952814e-05,0.03600000002,0.5254874942218316,S4,0.6,3.0,10,3,,
Continuous only,True,35.00485420227051,False,False,False,False,0,11.049742134211009,4.923191812012756e-05,0.04000000002,0.5165017842140682,S4,0.6,3.0,10,3,,
CP-SAT,True,5.713462829589844,False,False,False,False,0,11.193342506732254,4.860031752560152e-05,0.03600000002,0.5605053894709563,S4,0.6,3.0,10,3,,
VeriXApp,True,35.67361831665039,False,False,False,False,0,11.049742134211009,4.923191812012756e-05,0.04000000002,0.5165017842140682,S4,0.6,3.0,10,3,,
Uncoordinated,False,0.0121593475341796,False,False,False,False,0,9.698991429580158,5.526347805250117e-05,0.04000000002,0.3800459307505647,S4,0.6,3.0,10,4,,
Static priority,False,0.2994537353515625,False,False,False,False,0,9.508723203256336,5.721062527235024e-05,0.04000000002,0.4114605305865312,S4,0.6,3.0,10,4,,
Continuous only,False,89.42413330078125,True,False,False,False,0,8.006585326068974,6.694489325615694e-05,0.04400000002,0.4160120813870725,S4,0.6,3.0,10,4,,
CP-SAT,True,5.614519119262695,False,False,False,False,0,9.402843093284195,5.785484183911797e-05,0.04000000002,0.3706743904986331,S4,0.6,3.0,10,4,,
VeriXApp,True,91.15123748779295,True,True,True,False,2,8.091045060182338,6.7234825162096e-05,0.04400000002,0.4141883929226988,S4,0.6,3.0,10,4,,
Uncoordinated,False,0.0123977661132812,False,False,False,False,0,9.032439947490078,5.84559657268156e-05,0.03600000002,0.4311213756595428,S4,0.6,3.0,10,5,,
Static priority,False,0.308990478515625,False,False,False,False,0,9.069430787767672,5.821754555006209e-05,0.03200000002,0.4272451152024604,S4,0.6,3.0,10,5,,
Continuous only,False,40.56453704833984,True,False,False,False,0,8.74289167751298,5.856186018144109e-05,0.04000000002,0.4462295124792703,S4,0.6,3.0,10,5,,
CP-SAT,True,5.096197128295898,False,False,False,False,0,7.955474207098857,6.838058748459972e-05,0.04000000002,0.4351831955615132,S4,0.6,3.0,10,5,,
VeriXApp,True,42.783498764038086,True,True,True,False,2,9.244569110222194,5.624924145193629e-05,0.04000000002,0.4759682900339833,S4,0.6,3.0,10,5,,
Uncoordinated,False,0.0126361846923828,False,False,False,False,0,12.299846378144188,4.3577780040605045e-05,0.04000000002,0.4471419775049375,S4,0.6,3.0,10,6,,
Static priority,False,0.4236698150634765,False,False,False,False,0,13.266750897448327,4.040175353734064e-05,0.03600000002,0.4961093790559365,S4,0.6,3.0,10,6,,
Continuous only,False,58.10832977294922,True,False,False,False,0,9.99102153733211,5.364816780718575e-05,0.04000000002,0.3988987850363277,S4,0.6,3.0,10,6,,
CP-SAT,True,6.761789321899414,False,False,False,False,0,14.171381427311108,3.951626049107444e-05,0.03600000002,0.5051507596192779,S4,0.6,3.0,10,6,,
VeriXApp,True,62.25848197937012,True,True,True,False,9,12.819803726070116,4.368241604676009e-05,0.03600000002,0.4564059212864994,S4,0.6,3.0,10,6,,
Uncoordinated,False,0.0128746032714843,False,False,False,False,0,14.654446356573317,3.766774851595795e-05,0.03600000002,0.4747190269270613,S4,0.6,3.0,10,7,,
Static priority,False,0.1955032348632812,False,False,False,False,0,15.37598692315775,3.590013459029636e-05,0.03200000002,0.4873232275005881,S4,0.6,3.0,10,7,,
Continuous only,True,40.14706611633301,False,False,False,False,0,9.86386780125888,5.5150779690150726e-05,0.04000000002,0.4326857269829507,S4,0.6,3.0,10,7,,
CP-SAT,True,5.714178085327148,False,False,False,False,0,12.98554267869868,4.435702182434494e-05,0.04000000002,0.421005693455936,S4,0.6,3.0,10,7,,
VeriXApp,True,39.65163230895996,False,False,False,False,0,9.86386780125888,5.5150779690150726e-05,0.04000000002,0.4326857269829507,S4,0.6,3.0,10,7,,
Uncoordinated,False,0.0123977661132812,False,False,False,False,0,10.93356769816392,5.0486722654371786e-05,0.03200000002,0.3208795762715228,S4,0.6,3.0,10,8,,
Static priority,False,0.234842300415039,False,False,False,False,0,12.11799660709904,4.621225918415733e-05,0.04000000002,0.3455390704610653,S4,0.6,3.0,10,8,,
Continuous only,False,51.03707313537598,True,False,False,False,0,8.545806803765695,5.897629230020895e-05,0.04400000002,0.2627859570949121,S4,0.6,3.0,10,8,,
CP-SAT,True,4.957199096679688,False,False,False,False,0,11.662148168333234,4.596065769901855e-05,0.04000000002,0.3454936995119766,S4,0.6,3.0,10,8,,
VeriXApp,True,56.51736259460449,True,True,True,False,3,10.894009994333738,4.626395608799181e-05,0.04400000002,0.3442194446180847,S4,0.6,3.0,10,8,,
Uncoordinated,False,0.0131130218505859,False,False,False,False,0,12.200158787389494,4.590104192568669e-05,0.02800000002,0.4122731435420403,S4,0.6,3.0,10,9,,
Static priority,False,0.4270076751708984,False,False,False,False,0,12.257318479463798,4.503431977596354e-05,0.03200000002,0.4117363298956344,S4,0.6,3.0,10,9,,
Continuous only,True,86.83156967163086,False,False,False,False,0,12.872738390156774,4.101691372860795e-05,0.04400000002,0.4092129154703114,S4,0.6,3.0,10,9,,
CP-SAT,True,7.337331771850586,False,False,False,False,0,13.056222212490836,4.2891426852726986e-05,0.03200000002,0.4303006006218737,S4,0.6,3.0,10,9,,
VeriXApp,True,86.4870548248291,False,False,False,False,0,12.872738390156774,4.101691372860795e-05,0.04400000002,0.4092129154703114,S4,0.6,3.0,10,9,,
Uncoordinated,False,0.0133514404296875,False,False,False,False,0,12.588104593311408,4.44864432011116e-05,0.02800000002,0.530322310551145,S4,0.6,3.0,10,10,,
Static priority,False,0.4746913909912109,False,False,False,False,0,11.34783768862134,4.793864830702306e-05,0.03200000002,0.4477590686131333,S4,0.6,3.0,10,10,,
Continuous only,True,47.760963439941406,False,False,False,False,0,13.251169995338756,3.8638097630631984e-05,0.04000000002,0.4723440953271155,S4,0.6,3.0,10,10,,
CP-SAT,True,6.216526031494141,False,False,False,False,0,10.705620357921616,4.857261724354221e-05,0.03200000002,0.49919222643015,S4,0.6,3.0,10,10,,
VeriXApp,True,47.48082160949707,False,False,False,False,0,13.251169995338756,3.8638097630631984e-05,0.04000000002,0.4723440953271155,S4,0.6,3.0,10,10,,
Uncoordinated,False,0.0152587890625,False,False,False,False,0,10.96570665250722,5.106830026972868e-05,0.03200000002,0.6325724843027599,S4,0.6,3.0,10,11,,
Static priority,False,0.202178955078125,False,False,False,False,0,10.553413127754832,5.230535309456177e-05,0.03600000002,0.7136071151657413,S4,0.6,3.0,10,11,,
Continuous only,True,39.09111022949219,False,False,False,False,0,9.308321714488804,5.7582882977249583e-05,0.04400000002,0.5932578740402468,S4,0.6,3.0,10,11,,
CP-SAT,True,5.105018615722656,False,False,False,False,0,10.953693445809812,4.966361371087119e-05,0.04000000002,0.6174125221386224,S4,0.6,3.0,10,11,,
VeriXApp,True,38.878679275512695,False,False,False,False,0,9.308321714488804,5.7582882977249583e-05,0.04400000002,0.5932578740402468,S4,0.6,3.0,10,11,,
Uncoordinated,False,0.0121593475341796,False,False,False,False,0,11.855831860873089,4.386027113931305e-05,0.03600000002,0.3361306626194488,S4,0.6,3.0,10,12,,
Static priority,False,0.3736019134521484,False,False,False,False,0,11.6317784733004,4.470511548974292e-05,0.03600000002,0.3122343689451613,S4,0.6,3.0,10,12,,
Continuous only,True,41.74184799194336,False,False,False,False,0,12.17108394500772,4.338151001058313e-05,0.04000000002,0.316569324096432,S4,0.6,3.0,10,12,,
CP-SAT,True,5.31315803527832,False,False,False,False,0,12.091020897131402,4.23454730875101e-05,0.04000000002,0.3212423403710347,S4,0.6,3.0,10,12,,
VeriXApp,True,42.40775108337402,False,False,False,False,0,12.17108394500772,4.338151001058313e-05,0.04000000002,0.316569324096432,S4,0.6,3.0,10,12,,
Uncoordinated,False,0.0128746032714843,False,False,False,False,0,11.880158430411386,4.713741851846737e-05,0.04400000002,0.3971106863482349,S4,0.6,3.0,10,13,,
Static priority,False,0.2841949462890625,False,False,False,False,0,12.757992525197237,4.138582139448598e-05,0.04400000002,0.4950217109861102,S4,0.6,3.0,10,13,,
Continuous only,True,55.60469627380371,False,False,False,False,0,12.342621158499988,4.083411404496609e-05,0.02800000002,0.4621140902146855,S4,0.6,3.0,10,13,,
CP-SAT,True,7.907629013061523,False,False,False,False,0,12.223508166281327,4.384993184514421e-05,0.04000000002,0.4464478677118875,S4,0.6,3.0,10,13,,
VeriXApp,True,54.90875244140625,False,False,False,False,0,12.342621158499988,4.083411404496609e-05,0.02800000002,0.4621140902146855,S4,0.6,3.0,10,13,,
Uncoordinated,False,0.0126361846923828,False,False,False,False,0,9.6388727867027,5.6438134628197896e-05,0.04000000002,0.3545252054591936,S4,0.6,3.0,10,14,,
Static priority,False,0.3609657287597656,False,False,False,False,0,8.674178674947944,6.271487138847353e-05,0.04000000002,0.3347195145062433,S4,0.6,3.0,10,14,,
Continuous only,False,61.21110916137695,True,False,False,False,0,9.936123436280358,5.072400752990999e-05,0.03600000002,0.4321338447759078,S4,0.6,3.0,10,14,,
CP-SAT,True,6.19816780090332,False,False,False,False,0,8.55986662264746,6.168320410542754e-05,0.03600000002,0.4827549875392555,S4,0.6,3.0,10,14,,
VeriXApp,True,70.53828239440918,True,True,True,False,12,8.756060101437862,5.847378776168093e-05,0.03600000002,0.5173865266780973,S4,0.6,3.0,10,14,,
Uncoordinated,False,0.0128746032714843,False,False,False,False,0,11.596620878218827,4.691021683926561e-05,0.02800000002,0.4652784892841646,S4,0.6,3.0,10,15,,
Static priority,False,0.417947769165039,False,False,False,False,0,10.42997380711276,4.9856309288656506e-05,0.02800000002,0.4494892327767412,S4,0.6,3.0,10,15,,
Continuous only,True,72.73411750793457,False,False,False,False,0,8.632022787867971,6.024080482396816e-05,0.03600000002,0.3858438186540629,S4,0.6,3.0,10,15,,
CP-SAT,True,6.043195724487305,False,False,False,False,0,10.527266583726224,5.015546968443061e-05,0.02800000002,0.4678641799801866,S4,0.6,3.0,10,15,,
VeriXApp,True,72.08585739135742,False,False,False,False,0,8.632022787867971,6.024080482396816e-05,0.03600000002,0.3858438186540629,S4,0.6,3.0,10,15,,
Uncoordinated,False,0.0164508819580078,False,False,False,False,0,9.938183203090768,5.473837510168019e-05,0.04000000002,0.33941054963124,S4,0.6,3.0,10,16,,
Static priority,False,0.3044605255126953,False,False,False,False,0,9.428312983438287,5.854705936996783e-05,0.02800000002,0.3544761145065668,S4,0.6,3.0,10,16,,
Continuous only,True,127.44355201721191,False,False,False,False,0,11.177068614609212,4.867107993673349e-05,0.03600000002,0.3985667521589,S4,0.6,3.0,10,16,,
CP-SAT,True,6.047487258911133,False,False,False,False,0,10.399235917043198,5.2311535610846576e-05,0.03600000002,0.3668616983135376,S4,0.6,3.0,10,16,,
VeriXApp,True,126.76668167114258,False,False,False,False,0,11.177068614609212,4.867107993673349e-05,0.03600000002,0.3985667521589,S4,0.6,3.0,10,16,,
Uncoordinated,False,0.0159740447998046,False,False,False,False,0,15.875687187290357,3.6281894018492e-05,0.03600000002,0.4973032706804016,S4,0.6,3.0,10,17,,
